image	image_credit	common_name	taxon_name	taxon_group	type	inat_link	taxon_id
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-toyon.jpg?itok=DY6FEZL-	Nurit Katz	Toyon	Heteromeles arbutifolia	Plants	Park/Natural Area Species	https://www.inaturalist.org/taxa/53405-Heteromeles-arbutifolia	53405
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-california-rose.jpg?itok=lAFx5wCZ	Nurit Katz	California Wild Rose	Rosa californica	Plants	Park/Natural Area Species	https://www.inaturalist.org/taxa/53437-Rosa-californica	53437
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-sara-orangetip.jpg?itok=lRooaS_V	iNaturalist/Phytographer	Sara Orangetip	Anthocharis sara	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/59124-Anthocharis-sara	59124
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-western-toad.jpg?itok=twlPka3n	iNaturalist/Jesse Rorabaugh	Western Toad	Anaxyrus boreas	Amphibians	Stream/Riparian Species	https://www.inaturalist.org/taxa/64970-Anaxyrus-boreas	64970
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-harvester-ants.jpg?itok=90cO2J3f	Daniel S. Cooper	Harvester Ants	Pogonomyrmex (Genus)	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/69114-Pogonomyrmex	69114
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-western-pond-turtle.jpg?itok=VtIhZ-Dz	Nurit Katz	Western Pond Turtle	Actinemys marmorata	Reptiles	Stream/Riparian Species	https://www.inaturalist.org/taxa/73592-Actinemys-marmorata	73592
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-north-american-jerusalem-cricket.jpg?itok=25ydqi5X	Daniel S. Cooper	North American Jerusalem Ccrickets	Ammopelmatus sp.	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/86400-Ammopelmatus	86400
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-behr_s-metalmark.jpg?itok=QSSzL4YV	Daniel S. Cooper	Behr's Metalmark	Apodemia virgulti	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/119068-Apodemia-virgulti	119068
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-baja-california-tree-frog.jpg?itok=YD7pf_hk	Daniel S. Cooper	Baja California Tree Frog	Pseudacris hypochondria	Amphibians	Stream/Riparian Species	https://www.inaturalist.org/taxa/120719-Pseudacris-hypochondriaca	120719
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-california-kingsnake-1.jpg?itok=vHYWpl_Y	iNaturalist/Andre Giraldi	California Kingsnake	Lampropeltis californiae	Reptiles	Park/Natural Area Species	https://www.inaturalist.org/taxa/146199-Lampropeltis-californiae	146199
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-el-segundo-blue.jpg?itok=4TbAstaF	Daniel S. Cooper	El Segundo Blue Butterfly	Euphilotes battoides ssp. allyni	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/179676-Euphilotes-battoides-allyni	179676
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-bramble-green-hairstreak.jpg?itok=EV9uCr3-	Daniel S. Cooper	Bramble Green Hairstreak	Callophrys dumetorum	Invertebrates	Park/Natural Area Species	https://www.inaturalist.org/taxa/346970-Callophrys-dumetorum	346970
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-coachwhip-snake.jpg?itok=wDycPQfn	iNaturalist/Patrick Alexander	Coachwhip Snake	Coluber flagellum	Reptiles	Park/Natural Area Species	https://www.inaturalist.org/taxa/547193-Masticophis-flagellum	547193
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-cinnamon-teal.jpg?itok=7o9elPbs	Nurit Katz	Cinnamon Teal	Spatula cyanoptera	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/558434-Spatula-cyanoptera	558434
https://lapl.org/sites/default/files/styles/medium/public/indicator_species/bioblitz-northern-harrier.jpg?itok=NeGjBDtI	iNaturalist/Dario	Northern Harrier	Circus hudsonius	Birds	Park/Natural Area Species	https://www.inaturalist.org/taxa/558446-Circus-hudsonius	558446
