id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
82072786,2021-06-07T20:31:17Z,1499599,kpakradouni,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134670904/medium.jpg,,34.122590786,-118.2827213107,,,False,Ceanothus megacarpus,bigpod ceanothus,76185,species,47126|211194|47124|47132|49041|49674|76185
82073064,2021-06-07T20:33:43Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134671551/medium.jpg,,34.1229684139,-118.2832760644,,,False,Sambucus cerulea,blue elder,143799,species,47126|211194|47124|48526|781703|52689|143799
82073156,2021-06-07T16:53:25Z,3975790,moshe_tal,research,,https://static.inaturalist.org/photos/134671700/medium.jpg,,34.2475666667,-118.6215366667,,open,False,Pavo cristatus,Indian Peafowl,1204,species,1|2|3|573|574|1199|1204
82073183,2021-06-07T20:35:00Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134671958/medium.jpg,,34.1230104379,-118.2832149097,,,False,Marrubium vulgare,White Horehound,54605,species,47126|211194|47124|48151|48623|54604|54605
82073285,2021-06-07T20:35:32Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134673150/medium.jpg,,34.1229473334,-118.2832792496,,,False,Heteromeles arbutifolia,Toyon,53405,species,47126|211194|47124|47132|47148|53408|53405
82073460,2021-06-07T20:38:17Z,826809,shabuni,research,,https://static.inaturalist.org/photos/134678145/medium.jpg,,34.2380258767,-118.27026492,,,False,Alcea rosea,Hollyhock,62205,species,47126|211194|47124|48796|48797|62206|62205
82073665,2021-06-07T20:39:14Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134673305/medium.jpg,,34.1240520683,-118.283459209,,open,False,Juglans californica,Southern California Walnut,54503,species,47126|211194|47124|47853|54497|54495|54503
82074089,2021-06-07T20:41:49Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134673472/medium.jpg,,34.1236668779,-118.2847850585,,open,False,Opuntia littoralis,Coastal Pricklypear,78266,species,47126|211194|47124|47366|47903|47902|78266
82074134,2021-06-07T13:43:40Z,2856015,gevorkkazanchyan,needs_id,,https://static.inaturalist.org/photos/134673605/medium.jpeg,,34.1455361111,-118.418825,,,False,Solanum aethiopicum,Ethiopian eggplant,431630,species,47126|211194|47124|48515|48516|50641|431630
82074334,2021-06-07T20:42:49Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134674107/medium.jpg,,34.1195519599,-118.3040361284,,,False,Baccharis pilularis consanguinea,Chaparral Coyote Brush,79638,subspecies,47126|211194|47124|47605|47604|52111|53359|79638
