id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
92497581,17013,Black Phoebe,Sayornis nigricans,bryn_potter,https://inaturalist-open-data.s3.amazonaws.com/photos/153162650/medium.jpeg,species,17007,1|2|3|7251|980017|17007|17013,58,58,,
92519883,42051,Coyote,Canis latrans,jennbastian,https://static.inaturalist.org/photos/153202928/medium.jpg,species,42044,1|2|40151|41573|42043|42044|42051,57,57,,
92497674,4940,Snowy Egret,Egretta thula,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153162135/medium.jpeg,species,4933,1|2|3|67566|4929|4933|4940,57,57,,
92497679,4265,Double-crested Cormorant,Phalacrocorax auritus,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153162252/medium.jpeg,species,4263,1|2|3|71268|4262|4263|4265,57,57,,
90466465,180007,California Ground Squirrel,Otospermophilus beecheyi,andrewl,https://inaturalist-open-data.s3.amazonaws.com/photos/149517398/medium.jpeg,species,179939,1|2|40151|43698|45933|179939|180007,56,56,,
92525481,58331,sacred datura,Datura wrightii,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153213281/medium.jpeg,species,48943,47126|211194|47124|48515|48516|48943|58331,55,55,,
90301555,47850,coast live oak,Quercus agrifolia,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149223522/medium.jpeg,species,47851,47126|211194|47124|47853|47852|47851|47850,54,54,,
90076414,53107,prickly lettuce,Lactuca serriola,naturephotosuze,https://static.inaturalist.org/photos/148820704/medium.jpg,species,53106,47126|211194|47124|47605|47604|53106|53107,52,52,,
92517561,54999,California buckwheat,Eriogonum fasciculatum,brandonwsmacdonald,https://inaturalist-open-data.s3.amazonaws.com/photos/153198656/medium.jpg,species,48939,47126|211194|47124|47366|48382|48939|54999,52,52,,
90507865,53405,Toyon,Heteromeles arbutifolia,outdoorsygal,https://inaturalist-open-data.s3.amazonaws.com/photos/149597859/medium.jpg,species,53408,47126|211194|47124|47132|47148|53408|53405,51,51,Plants,Park/Natural Area Species
90025442,9319,Hooded Oriole,Icterus cucullatus,ki6h,https://inaturalist-open-data.s3.amazonaws.com/photos/148730876/medium.jpg,species,9315,1|2|3|7251|11989|9315|9319,50,50,,
94615336,4836,Black-necked Stilt,Himantopus mexicanus,melissa1684,https://static.inaturalist.org/photos/156971878/medium.jpg,species,4831,1|2|3|67561|71361|4831|4836,49,49,,
