id,time_observed_at,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,taxon_ids
705535,,ajgorton,casual,CC-BY-NC,,"Cedar Creek Ecosystem Science Reserve

Sandy ground behind little red house in prairie field.

Prairie field behind Lindeman Hall

Germinants - need to come back and check",45.425112,-93.201914,,,False,Ambrosia artemisiifolia,common ragweed,53587,47126|211194|47124|47605|47604|53036|53587
1729863,2015-07-06T19:42:37Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2096381/medium.jpg,Observed at Cedar Creek Ecosystem Reserve,45.402023,-93.199469,,open,False,Asclepias tuberosa,butterfly milkweed,47912,47126|211194|47124|47363|47362|47906|47912
1729864,2015-07-06T19:38:06Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2096405/medium.jpg,,45.402018,-93.199479,,,False,Pteridium aquilinum,common bracken,52681,47126|211194|121943|47754|52682|52683|52681
1729865,2015-07-06T19:45:39Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2096383/medium.jpg,,45.402014,-93.199485,,,False,Dalea purpurea,purple prairie clover,63547,47126|211194|47124|47123|47122|63552|63547
1729925,2015-07-06T19:50:35Z,alstrauss,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2096450/medium.jpg,,45.402038,-93.199465,,,False,Asteraceae,"sunflowers, daisies, asters, and allies",47604,47126|211194|47124|47605|47604
1733429,2015-07-07T19:00:48Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2100698/medium.jpg,Observed at the Beckman Lake Boardwalk,45.421758,-93.185947,,,False,Chamaedaphne calyculata,leatherleaf,132767,47126|211194|47124|47181|133387|132768|132767
1733430,2015-07-07T19:01:49Z,alstrauss,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2100696/medium.jpg,,45.402034,-93.199461,,,False,Sphagnum,Sphagnum mosses,54704,47126|311249|54698|54700|54703|54704
1733431,2015-07-07T20:32:22Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2100702/medium.jpg,,45.397824,-93.162931,,,False,Speyeria cybele,Great Spangled Fritillary,47980,1|47120|47158|47157|47922|47981|47980
1733432,2015-07-07T21:06:06Z,alstrauss,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2100704/medium.jpg,,45.396933,-93.165163,,,False,Zygoptera,Damselflies,47928,1|47120|47158|47792|47928
1733435,2015-07-07T20:34:04Z,alstrauss,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/2100700/medium.jpg,Kurt Mead's hand,45.397774,-93.162812,,,False,Celithemis eponina,Halloween Pennant,50147,1|47120|47158|47792|47819|50148|50147
3667907,2016-07-12T19:21:31Z,jonpoppele,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4247233/medium.jpg,,45.39747984,-93.16011321,,,False,Geomys bursarius,Plains Pocket Gopher,44059,1|2|40151|43698|44027|44052|44059
3667985,2016-07-12T19:32:29Z,jonpoppele,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4247325/medium.jpg,,45.39777267,-93.16331593,,,False,Talpidae,Moles and Desmans,46927,1|2|40151|533971|46927
3704860,2016-07-19T16:05:05Z,jillmcd,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4301834/medium.jpeg,,45.4013874342,-93.2003043243,,,False,Satyrium titus,Coral Hairstreak,198804,1|47120|47158|47157|47923|54135|198804
3707184,2016-07-19T21:25:44Z,anngriffin,research,,https://static.inaturalist.org/photos/4305319/medium.jpeg,,45.4095466667,-93.19973,,open,False,Lithobates septentrionalis,Mink Frog,66007,1|2|20978|20979|25473|60340|66007
3707186,2016-07-19T21:20:37Z,anngriffin,research,,https://static.inaturalist.org/photos/4305320/medium.jpeg,,45.4086616667,-93.200225,,,False,Persicaria arifolia,halberd-leaved tearthumb,204177,47126|211194|47124|47366|48382|61787|204177
3707194,2016-07-19T21:27:08Z,anngriffin,research,,https://static.inaturalist.org/photos/4305325/medium.jpeg,,45.4096033333,-93.199775,,,False,Nymphaea odorata,American white waterlily,51119,47126|211194|47124|51120|51121|51122|51119
3707198,2016-07-19T21:10:02Z,anngriffin,needs_id,,https://static.inaturalist.org/photos/4305330/medium.jpeg,,45.40725,-93.1996216667,,,False,Hygrocybe,Waxcaps,51871,47170|47169|50814|47167|51870|51871
3728593,,dphyillaier,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4331923/medium.jpeg,Witnessed ,45.404439,-93.198974,,,False,Formicidae,Ants,47336,1|47120|47158|47201|47336
3730422,,dphyillaier,casual,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4333656/medium.jpeg,,45.405282,-93.198727,,,False,Serpentes,Snakes,85553,1|2|26036|26172|85553
3731899,2016-07-23T19:57:40Z,jonpoppele,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/4335681/medium.jpeg,,45.40503149,-93.19876632,,open,False,Odocoileus virginianus,White-tailed Deer,42223,1|2|40151|152870|42158|42219|42223
