id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,common_names,scientific_names,observations_count,taxa_count
96707006,224007,hairy puccoon,Lithospermum caroliniense,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/160699592/medium.jpeg,species,59925,47126|211194|47124|523723|48150|59925|224007,"plants|vascular plants|dicots||borage family|stoneseeds, puccoons, and gromwells|hairy puccoon",Plantae|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Lithospermum|Lithospermum caroliniense,25,25
93165398,47124,dicots,Magnoliopsida,shedberg,https://inaturalist-open-data.s3.amazonaws.com/photos/154371816/medium.jpg,class,211194,47126|211194|47124,plants|vascular plants|dicots,Plantae|Tracheophyta|Magnoliopsida,25,881
88216013,81528,sundial lupine,Lupinus perennis,beekim,https://inaturalist-open-data.s3.amazonaws.com/photos/145525519/medium.jpeg,species,47121,47126|211194|47124|47123|47122|47121|81528,"plants|vascular plants|dicots|legumes, milkworts, and allies|legumes|lupines|sundial lupine",Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lupinus|Lupinus perennis,24,24
90792674,47126,plants,Plantae,gary_guo,https://static.inaturalist.org/photos/150086985/medium.jpg,kingdom,48460,47126,plants,Plantae,24,1187
9812115,40151,Mammals,Mammalia,ginakeebs,https://inaturalist-open-data.s3.amazonaws.com/photos/13428352/medium.jpeg,class,2,1|2|40151,Animals|Chordates|Mammals,Animalia|Chordata|Mammalia,22,1067
96708721,153351,large-flowered beardtongue,Penstemon grandiflorus,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/160702688/medium.jpeg,species,48367,47126|211194|47124|48151|50638|48367|153351,"plants|vascular plants|dicots|mints, plantains, olives, and allies|plantain family|beardtongues|large-flowered beardtongue",Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Penstemon|Penstemon grandiflorus,22,22
6288867,47170,Fungi Including Lichens,Fungi,chelegans,https://inaturalist-open-data.s3.amazonaws.com/photos/7915151/medium.jpeg,kingdom,48460,47170,Fungi Including Lichens,Fungi,22,262
99364533,8229,Blue Jay,Cyanocitta cristata,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/165620927/medium.jpeg,species,8228,1|2|3|7251|7823|8228|8229,"Animals|Chordates|Birds|Perching Birds|Crows, Jays, and Magpies|Blue and Steller's Jays|Blue Jay",Animalia|Chordata|Aves|Passeriformes|Corvidae|Cyanocitta|Cyanocitta cristata,19,19
97005001,47167,Common Gilled Mushrooms and Allies,Agaricales,jenniferf4,https://inaturalist-open-data.s3.amazonaws.com/photos/161239477/medium.jpg,order,50814,47170|47169|50814|47167,Fungi Including Lichens|Basidiomycete Fungi||Common Gilled Mushrooms and Allies,Fungi|Basidiomycota|Agaricomycetes|Agaricales,18,84
29011196,170255,Prairie Violet,Viola pedatifida,fitchjj,https://inaturalist-open-data.s3.amazonaws.com/photos/45255824/medium.jpg,species,50829,47126|211194|47124|51820|50828|50829|170255,"plants|vascular plants|dicots|nances, willows, and allies|violet family|violets|Prairie Violet",Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Violaceae|Viola|Viola pedatifida,18,18
96284145,41638,American Black Bear,Ursus americanus,etvehe,https://inaturalist-open-data.s3.amazonaws.com/photos/159934539/medium.jpeg,species,41637,1|2|40151|41573|41636|41637|41638,Animals|Chordates|Mammals|Carnivorans|Bears|Holarctic Bears|American Black Bear,Animalia|Chordata|Mammalia|Carnivora|Ursidae|Ursus|Ursus americanus,17,17
93725826,47912,butterfly milkweed,Asclepias tuberosa,calitexotan,https://inaturalist-open-data.s3.amazonaws.com/photos/155380235/medium.jpg,species,47906,47126|211194|47124|47363|47362|47906|47912,"plants|vascular plants|dicots|gentians, dogbanes, madders, and allies|dogbane family|milkweeds|butterfly milkweed",Plantae|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Asclepias|Asclepias tuberosa,16,16
89430116,54770,American hazelnut,Corylus americana,jeffvelline,https://inaturalist-open-data.s3.amazonaws.com/photos/147680623/medium.jpg,species,53373,47126|211194|47124|47853|49155|53373|54770,"plants|vascular plants|dicots|beeches, oaks, walnuts, and allies|birch family|hazels|American hazelnut",Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Corylus|Corylus americana,15,15
98400717,7251,Perching Birds,Passeriformes,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/163849562/medium.jpg,order,3,1|2|3|7251,Animals|Chordates|Birds|Perching Birds,Animalia|Chordata|Aves|Passeriformes,15,226
51737015,41573,Carnivorans,Carnivora,tillerybailey,https://static.inaturalist.org/photos/82216379/medium.jpg,order,40151,1|2|40151|41573,Animals|Chordates|Mammals|Carnivorans,Animalia|Chordata|Mammalia|Carnivora,15,613
99364544,42408,American Bison,Bison bison,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/165621909/medium.jpeg,species,42406,1|2|40151|152870|42241|42406|42408,Animals|Chordates|Mammals|Even-toed Ungulates and Cetaceans|Bovids|Bison|American Bison,Animalia|Chordata|Mammalia|Artiodactyla|Bovidae|Bison|Bison bison,15,15
7978112,46927,Moles and Desmans,Talpidae,dphyillaier,https://inaturalist-open-data.s3.amazonaws.com/photos/10547731/medium.jpg,family,533971,1|2|40151|533971|46927,"Animals|Chordates|Mammals|Shrews, Moles, Hedgehogs, and Allies|Moles and Desmans",Animalia|Chordata|Mammalia|Eulipotyphla|Talpidae,15,19
98320698,3,Birds,Aves,aleckarcz,https://inaturalist-open-data.s3.amazonaws.com/photos/163667810/medium.jpg,class,2,1|2|3,Animals|Chordates|Birds,Animalia|Chordata|Aves,14,556
96888682,8021,American Crow,Corvus brachyrhynchos,dphyillaier,https://inaturalist-open-data.s3.amazonaws.com/photos/161028725/medium.jpg,species,7998,1|2|3|7251|7823|7998|8021,"Animals|Chordates|Birds|Perching Birds|Crows, Jays, and Magpies|Crows and Ravens|American Crow",Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|Corvus brachyrhynchos,14,14
6290810,54037,northern whitecedar,Thuja occidentalis,johngallo,https://inaturalist-open-data.s3.amazonaws.com/photos/7918026/medium.jpg,species,48253,47126|211194|136329|47375|47374|48253|54037,plants|vascular plants|conifers|conifers|cypress family|thujas|northern whitecedar,Plantae|Tracheophyta|Pinopsida|Pinales|Cupressaceae|Thuja|Thuja occidentalis,13,13
83631523,48662,Monarch,Danaus plexippus,akoshiol,https://inaturalist-open-data.s3.amazonaws.com/photos/137374180/medium.jpg,species,48663,1|47120|47158|47157|47922|48663|48662,Animals|Arthropods|Insects|Butterflies and Moths|Brush-footed Butterflies|Tiger Milkweed Butterflies|Monarch,Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Danaus|Danaus plexippus,13,13
96687389,130380,rough blazing star,Liatris aspera,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/160663484/medium.jpeg,species,48690,47126|211194|47124|47605|47604|48690|130380,"plants|vascular plants|dicots|sunflowers, bellflowers, fanflowers, and allies|sunflowers, daisies, asters, and allies|blazing-stars|rough blazing star",Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Liatris|Liatris aspera,12,12
89430278,121785,Western Spiderwort,Tradescantia occidentalis,jeffvelline,https://inaturalist-open-data.s3.amazonaws.com/photos/147680940/medium.jpg,species,49145,47126|211194|47163|49146|49147|49145|121785,plants|vascular plants|monocots|spiderworts and allies|spiderworts|Spiderworts|Western Spiderwort,Plantae|Tracheophyta|Liliopsida|Commelinales|Commelinaceae|Tradescantia|Tradescantia occidentalis,12,12
7387237,3454,Mourning Dove,Zenaida macroura,cebye,https://inaturalist-open-data.s3.amazonaws.com/photos/9587698/medium.jpg,species,3438,1|2|3|2708|2715|3438|3454,Animals|Chordates|Birds|Pigeons and Doves|Pigeons and Doves|Zenaida Doves|Mourning Dove,Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|Zenaida macroura,12,12
26883292,58721,tamarack,Larix laricina,ise,https://inaturalist-open-data.s3.amazonaws.com/photos/41771048/medium.jpeg,species,55571,47126|211194|136329|47375|47562|55571|58721,plants|vascular plants|conifers|conifers|pine family|larches|tamarack,Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Larix|Larix laricina,12,12
7434638,355675,Vertebrates,Vertebrata,colbycarlisle,https://static.inaturalist.org/photos/9664165/medium.jpg,subphylum,2,1|2|355675,Animals|Chordates|Vertebrates,Animalia|Chordata|Vertebrata,12,12
57403715,50814,,Agaricomycetes,matthewt6416,https://inaturalist-open-data.s3.amazonaws.com/photos/91558134/medium.jpg,class,47169,47170|47169|50814,Fungi Including Lichens|Basidiomycete Fungi|,Fungi|Basidiomycota|Agaricomycetes,12,187
8794953,47158,Insects,Insecta,gayatri_narayanan,https://inaturalist-open-data.s3.amazonaws.com/photos/11807483/medium.jpg,class,47120,1|47120|47158,Animals|Arthropods|Insects,Animalia|Arthropoda|Insecta,12,498
97129631,48339,brittlegills,Russula,jenniferf4,https://inaturalist-open-data.s3.amazonaws.com/photos/161471573/medium.jpg,genus,48340,47170|47169|50814|48341|48340|48339,"Fungi Including Lichens|Basidiomycete Fungi|||Milkcaps, Brittlegills and Allies|brittlegills",Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula,11,12
79800433,18236,Northern Flicker,Colaptes auratus,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/130726810/medium.jpeg,species,18230,1|2|3|17550|17599|18230|18236,"Animals|Chordates|Birds|Woodpeckers, Barbets, and Allies|Woodpeckers|Flickers and Allies|Northern Flicker",Animalia|Chordata|Aves|Piciformes|Picidae|Colaptes|Colaptes auratus,11,11
76623927,49883,paper birch,Betula papyrifera,jenniferf4,https://inaturalist-open-data.s3.amazonaws.com/photos/125323060/medium.jpeg,species,49156,47126|211194|47124|47853|49155|49156|49883,"plants|vascular plants|dicots|beeches, oaks, walnuts, and allies|birch family|birches|paper birch",Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Betula|Betula papyrifera,11,11
98416150,3936,American Woodcock,Scolopax minor,madland,https://inaturalist-open-data.s3.amazonaws.com/photos/163847387/medium.jpg,species,3929,1|2|3|67561|3835|3929|3936,Animals|Chordates|Birds|Shorebirds and Allies|Sandpipers and Allies|Woodcocks|American Woodcock,Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Scolopax|Scolopax minor,11,11
6400140,54834,black cherry,Prunus serotina,cebye,https://inaturalist-open-data.s3.amazonaws.com/photos/8085812/medium.jpg,species,47351,47126|211194|47124|47132|47148|47351|54834,"plants|vascular plants|dicots|roses, elms, figs, and allies|rose family|plums, cherries, and allies|black cherry",Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Prunus|Prunus serotina,11,11
89430087,83065,prairie rose,Rosa arkansana,jeffvelline,https://inaturalist-open-data.s3.amazonaws.com/photos/147680569/medium.jpg,species,53438,47126|211194|47124|47132|47148|53438|83065,"plants|vascular plants|dicots|roses, elms, figs, and allies|rose family|roses|prairie rose",Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosa|Rosa arkansana,11,11
66171702,44059,Plains Pocket Gopher,Geomys bursarius,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/106617236/medium.jpeg,species,44052,1|2|40151|43698|44027|44052|44059,Animals|Chordates|Mammals|Rodents|Pocket Gophers|Eastern Pocket Gophers|Plains Pocket Gopher,Animalia|Chordata|Mammalia|Rodentia|Geomyidae|Geomys|Geomys bursarius,10,10
96687610,121968,big bluestem,Andropogon gerardi,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/160702319/medium.jpeg,species,71966,47126|211194|47163|47162|47434|71966|121968,"plants|vascular plants|monocots|grasses, sedges, cattails, and allies|grasses|bluestems|big bluestem",Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Andropogon|Andropogon gerardi,10,10
88216025,158286,leadplant,Amorpha canescens,beekim,https://inaturalist-open-data.s3.amazonaws.com/photos/145525557/medium.jpeg,species,57357,47126|211194|47124|47123|47122|57357|158286,"plants|vascular plants|dicots|legumes, milkworts, and allies|legumes|False Indigos|leadplant",Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Amorpha|Amorpha canescens,10,10
4132082,42076,Gray Fox,Urocyon cinereoargenteus,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/4916884/medium.jpeg,species,42075,1|2|40151|41573|42043|42075|42076,Animals|Chordates|Mammals|Carnivorans|Canids|Gray Foxes|Gray Fox,Animalia|Chordata|Mammalia|Carnivora|Canidae|Urocyon|Urocyon cinereoargenteus,10,10
96687578,125186,round-headed bush clover,Lespedeza capitata,turtlemitchell,https://inaturalist-open-data.s3.amazonaws.com/photos/160663835/medium.jpeg,species,119139,47126|211194|47124|47123|47122|119139|125186,"plants|vascular plants|dicots|legumes, milkworts, and allies|legumes|bush clovers and lespedezas|round-headed bush clover",Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lespedeza|Lespedeza capitata,10,10
8922632,46217,Eastern Chipmunk,Tamias striatus,cebye,https://inaturalist-open-data.s3.amazonaws.com/photos/12015354/medium.jpg,species,520586,1|2|40151|43698|45933|520586|46217,Animals|Chordates|Mammals|Rodents|Squirrels||Eastern Chipmunk,Animalia|Chordata|Mammalia|Rodentia|Sciuridae|Tamias|Tamias striatus,10,10
90796844,47125,flowering plants,Angiospermae,gary_guo,https://static.inaturalist.org/photos/150093386/medium.jpg,subphylum,211194,47126|211194|47125,plants|vascular plants|flowering plants,Plantae|Tracheophyta|Angiospermae,10,10
9814551,45933,Squirrels,Sciuridae,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/13432424/medium.jpeg,family,43698,1|2|40151|43698|45933,Animals|Chordates|Mammals|Rodents|Squirrels,Animalia|Chordata|Mammalia|Rodentia|Sciuridae,10,94
98320573,12942,Eastern Bluebird,Sialia sialis,aleckarcz,https://inaturalist-open-data.s3.amazonaws.com/photos/163667535/medium.jpg,species,12935,1|2|3|7251|15977|12935|12942,Animals|Chordates|Birds|Perching Birds|Thrushes|Bluebirds|Eastern Bluebird,Animalia|Chordata|Aves|Passeriformes|Turdidae|Sialia|Sialia sialis,10,10
6848993,47911,common milkweed,Asclepias syriaca,fake_id,https://inaturalist-open-data.s3.amazonaws.com/photos/8725584/medium.jpeg,species,47906,47126|211194|47124|47363|47362|47906|47911,"plants|vascular plants|dicots|gentians, dogbanes, madders, and allies|dogbane family|milkweeds|common milkweed",Plantae|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Asclepias|Asclepias syriaca,10,10
99364532,47208,Beetles,Coleoptera,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/165620892/medium.jpg,order,47158,1|47120|47158|47208,Animals|Arthropods|Insects|Beetles,Animalia|Arthropoda|Insecta|Coleoptera,10,78
8794954,47336,Ants,Formicidae,gayatri_narayanan,https://inaturalist-open-data.s3.amazonaws.com/photos/11807486/medium.jpg,family,47201,1|47120|47158|47201|47336,"Animals|Arthropods|Insects|Ants, Bees, Wasps, and Sawflies|Ants",Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae,10,23
77925759,28362,Common Garter Snake,Thamnophis sirtalis,gannet,https://inaturalist-open-data.s3.amazonaws.com/photos/127476007/medium.jpeg,species,28339,1|2|26036|26172|26504|28339|28362,Animals|Chordates|Reptiles|Snakes and Lizards|Colubrid Snakes|Garter Snakes|Common Garter Snake,Animalia|Chordata|Reptilia|Squamata|Colubridae|Thamnophis|Thamnophis sirtalis,9,10
90286286,120215,Brown-belted Bumble Bee,Bombus griseocollis,jenniferf4,https://inaturalist-open-data.s3.amazonaws.com/photos/149198420/medium.jpeg,species,52775,1|47120|47158|47201|47221|52775|120215,"Animals|Arthropods|Insects|Ants, Bees, Wasps, and Sawflies|Honey Bees, Bumble Bees, and Allies|Bumble Bees|Brown-belted Bumble Bee",Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|Bombus griseocollis,9,9
90276178,128670,Half-black Bumble Bee,Bombus vagans,jenniferf4,https://inaturalist-open-data.s3.amazonaws.com/photos/149178101/medium.jpeg,species,52775,1|47120|47158|47201|47221|52775|128670,"Animals|Arthropods|Insects|Ants, Bees, Wasps, and Sawflies|Honey Bees, Bumble Bees, and Allies|Bumble Bees|Half-black Bumble Bee",Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|Bombus vagans,9,9
