scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Entelegynae,Entelegyne Spiders,Arachnida,342614,True
Cerastium,Mouse-ear Chickweeds,Plantae,50853,True
Schizophyllum commune,splitgill mushroom,Fungi,54573,True
Physcia,rosette lichens,Fungi,117887,True
Sherardia arvensis,Field madder,Plantae,47691,True
Helianthus tuberosus,Jerusalem artichoke,Plantae,122970,True
Morus alba,white mulberry,Plantae,56090,True
Thamnophis,Garter Snakes,Reptilia,28339,True
Limenitis arthemis astyanax,Red-spotted Purple,Insecta,58585,True
Procyon lotor,Common Raccoon,Mammalia,41663,True
Vulpes vulpes,Red Fox,Mammalia,42069,True
Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,81923,True
Odocoileus virginianus,White-tailed Deer,Mammalia,42223,True
Cupido comyntas,Eastern Tailed-Blue,Insecta,122381,True
Cygnus olor,Mute Swan,Aves,6921,True
Camponotus,Carpenter Ants,Insecta,62781,True
Papilio glaucus,Eastern Tiger Swallowtail,Insecta,60551,True
Calliphora vicina,Bluebottle Fly,Insecta,119115,True
Phyllostachys aurea,fishpole bamboo,Plantae,78563,True
Enallagma geminatum,Skimming Bluet,Insecta,99912,True
Anas platyrhynchos,Mallard,Aves,6930,True
Nuphar,yellow pond-lilies,Plantae,57849,True
Viola × wittrockiana,garden pansy,Plantae,171203,True
Coenagrionidae,Narrow-winged Damselflies,Insecta,47925,True
Cyprinus carpio,European Carp,Actinopterygii,53911,True
Agelaius phoeniceus,Red-winged Blackbird,Aves,9744,True
Anatrytone logan,Delaware Skipper,Insecta,58509,True
Hesperis matronalis,dame's rocket,Plantae,47697,True
Typha latifolia,broad-leaved cattail,Plantae,48685,True
Poeae,,Plantae,552962,True
Hirundo rustica,Barn Swallow,Aves,11901,True
Toxostoma rufum,Brown Thrasher,Aves,14898,True
Kalmia,mountain-laurels,Plantae,49398,True
Narcissus papyraceus,Paperwhite,Plantae,123159,True
Iris,Irises,Plantae,47780,True
Mentheae,,Plantae,918917,True
Chelydra serpentina,Common Snapping Turtle,Reptilia,39682,True
Cerrena unicolor,Mossy Maze Polypore,Fungi,194476,True
Thelypteridaceae,marsh fern family,Plantae,56184,True
Campaea perlata,Pale Beauty,Insecta,81681,True
Potentilla indica,mock strawberry,Plantae,243824,True
Quercus rubra,northern red oak,Plantae,49005,True
Bromus inermis,Smooth Brome,Plantae,75903,True
Carex vulpinoidea,fox sedge,Plantae,68052,True
Gallus gallus domesticus,Domestic Chicken,Aves,505478,True
Melospiza melodia,Song Sparrow,Aves,9100,True
Buxus,boxes,Plantae,133400,True
Phragmites australis,common reed,Plantae,64237,True
Pluteus cervinus,deer mushroom,Fungi,60782,True
Aphaenogaster,Spine-waisted Ants,Insecta,68931,True
Trombidioidea,Velvet Mites,Arachnida,491889,True
Phalaris arundinacea,reed canary grass,Plantae,63337,True
Veronica anagallis-aquatica,blue water-speedwell,Plantae,57858,True
Equisetum hyemale,rough horsetail,Plantae,52673,True
Sylvilagus floridanus,Eastern Cottontail,Mammalia,43111,True
Pluteus petasatus,scaly shield,Fungi,347897,True
Candolleomyces candolleanus,Pale Brittlestem,Fungi,1179954,True
Geometridae,Geometer Moths,Insecta,49530,True
Limenitis archippus,Viceroy,Insecta,58586,True
Terrapene carolina carolina,Eastern Box Turtle,Reptilia,50001,True
Tyrannus tyrannus,Eastern Kingbird,Aves,16782,True
Sialia sialis,Eastern Bluebird,Aves,12942,True
Iris versicolor,northern blue flag,Plantae,48726,True
Anas platyrhynchos domesticus,Domestic Mallard,Aves,236935,True
Aix sponsa,Wood Duck,Aves,7107,True
Callitriche,Water Starworts,Plantae,58096,True
Iris pseudacorus,Yellow Iris,Plantae,47779,True
Porodaedalea pini,Pine Bracket,Fungi,118081,True
Cotoneaster pannosus,silverleaf cotoneaster,Plantae,53375,True
Acer rubrum,red maple,Plantae,48098,True
Stropharia rugosoannulata,Wine-cap Stropharia,Fungi,119151,True
Miscanthus sinensis,Chinese silver grass,Plantae,165474,True
Dianthus chinensis,Chinese-pink,Plantae,161763,True
Acer palmatum,Japanese maple,Plantae,63512,True
Dumetella carolinensis,Gray Catbird,Aves,14995,True
Rhododendron indicum,tsutsusi azalea,Plantae,208830,True
Syringa komarowii,,Plantae,1018173,True
Paeonia,Peonies,Plantae,58228,True
Dicentra eximia,wild bleeding-heart,Plantae,63696,True
Linaria vulgaris,common toadflax,Plantae,50790,True
Quiscalus quiscula,Common Grackle,Aves,9602,True
Vinca minor,lesser periwinkle,Plantae,55844,True
Canis familiaris,Domestic Dog,Mammalia,47144,True
Chrysemys picta picta,Eastern Painted Turtle,Reptilia,39775,True
Sturnus vulgaris,European Starling,Aves,14850,True
Robinia,Locust Trees,Plantae,56089,True
Schizophora,Schizophoran Flies,Insecta,48089,True
Melissa officinalis,lemon balm,Plantae,59901,True
Lamium purpureum,red deadnettle,Plantae,55851,True
Armadillidium nasatum,Nosy Pill Woodlouse,Animalia,210119,True
Geophilomorpha,Soil Centipedes,Animalia,67662,True
Canis latrans,Coyote,Mammalia,42051,True
Vinca major,greater periwinkle,Plantae,53326,True
Cypripedium acaule,pink lady's slipper,Plantae,47588,True
Neoscona crucifera,Spotted Orbweaver,Arachnida,85034,True
Meleagris gallopavo,Wild Turkey,Aves,906,True
Equus caballus,Domestic Horse,Mammalia,209233,True
Myrmentoma,,Insecta,363598,True
Quercus stellata,post oak,Plantae,119269,True
Potentilla canadensis,dwarf cinquefoil,Plantae,81597,True
Pterygota,Winged and Once-winged Insects,Insecta,184884,True
Corvus,Crows and Ravens,Aves,7998,True
Fagus grandifolia,American beech,Plantae,49202,True
Agaricales,Common Gilled Mushrooms and Allies,Fungi,47167,True
Rhododendron ponticum,Common Rhododendron,Plantae,60364,True
Myrmicinae,Myrmicine Ants,Insecta,69143,True
Acariformes,Mites,Arachnida,129763,True
Myrmica,,Insecta,69369,True
Cyprinus,Typical Carps,Actinopterygii,53912,True
Ischnura posita,Fragile Forktail,Insecta,103498,True
Passer domesticus,House Sparrow,Aves,13858,True
Securigera,,Plantae,127187,True
Tachycineta bicolor,Tree Swallow,Aves,11935,True
Asparagales,"agaves, orchids, irises, and allies",Plantae,47218,True
Rudbeckia laciniata,cutleaf coneflower,Plantae,116735,True
Ipomoea pes-caprae,Beach Morning Glory,Plantae,60879,True
Gopherus polyphemus,Gopher Tortoise,Reptilia,40085,True
Hymenoptera,"Ants, Bees, Wasps, and Sawflies",Insecta,47201,True
Tabanus americanus,American Horse Fly,Insecta,232173,True
Syrphinae,Typical Hover Flies,Insecta,186841,True
Salvia nemorosa,Purple Wood Sage,Plantae,168387,True
Mentha,mints,Plantae,54570,True
Lavandula,Lavender,Plantae,61905,True
Taraxacum,common dandelions,Plantae,967514,True
Ranunculus hispidus,bristly buttercup,Plantae,126368,True
Hylocichla mustelina,Wood Thrush,Aves,13270,True
Coryphoideae,,Plantae,475433,True
Diplopoda,Millipedes,Animalia,47735,True
Chilopoda,Centipedes,Animalia,49556,True
Trachemys scripta,Common Slider,Reptilia,39782,True
Toxicodendron,poison ivies and oaks,Plantae,51079,True
Lithobates catesbeianus,American Bullfrog,Amphibia,65979,True
Trombidium,,Arachnida,58398,True
Vespula maculifrons,Eastern Yellowjacket,Insecta,119994,True
Pelargonium,geraniums and storksbills,Plantae,72281,True
Felis catus,Domestic Cat,Mammalia,118552,True
Camponotus chromaiodes,Ferruginous Carpenter Ant,Insecta,62780,True
Bombus vagans,Half-black Bumble Bee,Insecta,128670,True
Acer negundo,boxelder,Plantae,47726,True
Dryobates pubescens,Downy Woodpecker,Aves,792988,True
Moronidae,Temperate Basses,Actinopterygii,51393,True
Euonymus alatus,winged euonymus,Plantae,117433,True
Iresine,bloodleaves,Plantae,130871,True
Solidago canadensis,Canada goldenrod,Plantae,67808,True
Cupressaceae,cypress family,Plantae,47374,True
Platycryptus undatus,Tan Jumping Spider,Arachnida,81839,True
Castianeira,Ant-mimic Sac Spiders,Arachnida,48134,True
Menispermum,,Plantae,130899,True
Berberis thunbergii,Japanese barberry,Plantae,58727,True
Anthemideae,"Chamomiles, yarrows, and allies",Plantae,373844,True
Plutella,,Insecta,126767,True
Toxicodendron rydbergii,western poison ivy,Plantae,58729,True
Iris × germanica,Bearded iris,Plantae,709635,True
Artemisia,wormwoods and sagebrushes,Plantae,52855,True
Prunus americana,American plum,Plantae,48629,True
Carex pedunculata,long-stalked sedge,Plantae,160059,True
Crinocheta,,Animalia,343798,True
Pezizomycotina,Higher Ascomycetes,Fungi,372740,True
Celtis occidentalis,common hackberry,Plantae,54857,True
Musca,,Insecta,120157,True
Pardosa,Thin-legged Wolf Spiders,Arachnida,47415,True
Pilosella,Hawkweeds,Plantae,203680,True
Dianthus,carnations,Plantae,60001,True
Verbascum,mulleins,Plantae,56165,True
Lamiaceae,mint family,Plantae,48623,True
Aculeata,"Ants, Bees, and Stinging Wasps",Insecta,326777,True
Pinopsida,conifers,Plantae,136329,True
Anatidae,"Ducks, Geese, and Swans",Aves,6912,True
Spizella passerina,Chipping Sparrow,Aves,9135,True
Carex grayi,Gray's sedge,Plantae,128078,True
Asarum europaeum,Asarabacca,Plantae,128901,True
Rosa canina,Dog-rose,Plantae,55884,True
Ellychnia,Diurnal Fireflies,Insecta,125629,True
Elateroidea,"Click, Firefly, and Soldier Beetles",Insecta,47207,True
Leucanthemum,,Plantae,56058,True
Geranium maculatum,wild geranium,Plantae,47699,True
Chamaecyparis obtusa,Hinoki cypress,Plantae,133369,True
Bombus,Bumble Bees,Insecta,52775,True
Rudbeckia,black-eyed Susans and coneflowers,Plantae,62742,True
Piranga rubra,Summer Tanager,Aves,9915,True
Schizomantodea,,Insecta,1097013,True
Cirsium vulgare,Bull Thistle,Plantae,52989,True
Ribes sanguineum,Red-flowering Currant,Plantae,53435,True
Ambrosia artemisiifolia,common ragweed,Plantae,53587,True
Asclepias tuberosa,butterfly milkweed,Plantae,47912,True
Pteridium aquilinum,common bracken,Plantae,52681,True
Dalea purpurea,purple prairie clover,Plantae,63547,True
Chamaedaphne calyculata,leatherleaf,Plantae,132767,True
Sphagnum,Sphagnum mosses,Plantae,54704,True
Speyeria cybele,Great Spangled Fritillary,Insecta,47980,True
Zygoptera,Damselflies,Insecta,47928,True
Celithemis eponina,Halloween Pennant,Insecta,50147,True
Geomys bursarius,Plains Pocket Gopher,Mammalia,44059,True
Talpidae,Moles and Desmans,Mammalia,46927,True
Satyrium titus,Coral Hairstreak,Insecta,198804,True
Lithobates septentrionalis,Mink Frog,Amphibia,66007,True
Persicaria arifolia,halberd-leaved tearthumb,Plantae,204177,True
Nymphaea odorata,American white waterlily,Plantae,51119,True
Hygrocybe,Waxcaps,Fungi,51871,True
Serpentes,Snakes,Reptilia,85553,True
Strigiformes,Owls,Aves,19350,True
Cricetidae,"Hamsters, Voles, Lemmings, and Allies",Mammalia,55986,True
Russula,brittlegills,Fungi,48339,True
Canidae,Canids,Mammalia,42043,True
Odocoileus,White-tailed and Mule Deer,Mammalia,42219,True
Eulipotyphla,"Shrews, Moles, Hedgehogs, and Allies",Mammalia,533971,True
Peromyscus leucopus,White-footed Mouse,Mammalia,44395,True
Sciurus,Tree Squirrels,Mammalia,45994,True
Phasianus colchicus,Ring-necked Pheasant,Aves,981,True
Tamiasciurus hudsonicus,American Red Squirrel,Mammalia,46260,True
Canis,Wolves and Dogs,Mammalia,42044,True
Strix varia,Barred Owl,Aves,19893,True
Symphyotrichum novae-angliae,New England aster,Plantae,117443,True
Mammalia,Mammals,Mammalia,40151,True
Chrysemys picta,Painted Turtle,Reptilia,39771,True
Urocyon cinereoargenteus,Gray Fox,Mammalia,42076,True
Geolycosa,Burrowing Wolf Spiders,Arachnida,48138,True
Mephitis mephitis,Striped Skunk,Mammalia,41880,True
Cygnus buccinator,Trumpeter Swan,Aves,6915,True
Colaptes auratus,Northern Flicker,Aves,18236,True
Pandion haliaetus,Osprey,Aves,116999,True
Sayornis phoebe,Eastern Phoebe,Aves,17008,True
Spizella pusilla,Field Sparrow,Aves,9152,True
Leiothlypis ruficapilla,Nashville Warbler,Aves,979753,True
Setophaga palmarum,Palm Warbler,Aves,145242,True
Suillus spraguei,Painted Suillus,Fungi,782231,True
Ursus americanus,American Black Bear,Mammalia,41638,True
Sciuridae,Squirrels,Mammalia,45933,True
Castor,Beavers,Mammalia,43792,True
Chordata,Chordates,Animalia,2,True
Geomyidae,Pocket Gophers,Mammalia,44027,True
Carnivora,Carnivorans,Mammalia,41573,True
Cicindela punctulata,Punctured Tiger Beetle,Insecta,82418,True
Cicindela scutellaris lecontei,LeConte's Tiger Beetle,Insecta,82432,True
Cicindela formosa,Big Sand Tiger Beetle,Insecta,82453,True
Melanerpes erythrocephalus,Red-headed Woodpecker,Aves,18204,True
Mustelinae,Weasels,Mammalia,526558,True
Soricidae,Shrews,Mammalia,46341,True
Vertebrata,Vertebrates,Animalia,355675,True
Neogale frenata,Long-tailed Weasel,Mammalia,1264431,True
Pekania pennanti,Fisher,Mammalia,453109,True
Neogale vison,American Mink,Mammalia,1264432,True
Mustela,,Mammalia,41801,True
Mustelidae,Mustelids,Mammalia,41770,True
Bubo virginianus,Great Horned Owl,Aves,20044,True
Procyon,Raccoons,Mammalia,41661,True
Pyrrharctia isabella,Isabella Tiger Moth,Insecta,59675,True
Glaucomys volans,Southern Flying Squirrel,Mammalia,46272,True
Dryocopus pileatus,Pileated Woodpecker,Aves,17855,True
Antigone canadensis,Sandhill Crane,Aves,508048,True
Podiceps auritus,Horned Grebe,Aves,4209,True
Thamnophis sirtalis,Common Garter Snake,Reptilia,28362,True
Heterodon platirhinos,Eastern Hognose Snake,Reptilia,29925,True
Anemonoides quinquefolia,wood anemone,Plantae,950598,True
Sphyrapicus varius,Yellow-bellied Sapsucker,Aves,18463,True
Catharus guttatus,Hermit Thrush,Aves,12890,True
Pipilo erythrophthalmus,Eastern Towhee,Aves,9424,True
Opheodrys vernalis,Smooth Greensnake,Reptilia,146314,True
Zonotrichia querula,Harris's Sparrow,Aves,9182,True
Charadrius vociferus,Killdeer,Aves,4793,True
Icterus galbula,Baltimore Oriole,Aves,9346,True
Gallinago delicata,Wilson's Snipe,Aves,144496,True
Chondestes grammacus,Lark Sparrow,Aves,10479,True
Haliaeetus leucocephalus,Bald Eagle,Aves,5305,True
Zonotrichia albicollis,White-throated Sparrow,Aves,9184,True
Setophaga pensylvanica,Chestnut-sided Warbler,Aves,145239,True
Catharus fuscescens,Veery,Aves,12901,True
Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,28365,True
Seiurus aurocapilla,Ovenbird,Aves,62550,True
Empidonax,Empidonax Flycatchers,Aves,16597,True
Sturnella magna,Eastern Meadowlark,Aves,9528,True
Icterus spurius,Orchard Oriole,Aves,9325,True
Sitta carolinensis,White-breasted Nuthatch,Aves,14801,True
Setophaga coronata coronata,Myrtle Warbler,Aves,132704,True
Setophaga palmarum palmarum,Western Palm Warbler,Aves,238505,True
Pheucticus ludovicianus,Rose-breasted Grosbeak,Aves,10271,True
Trillium grandiflorum,large white trillium,Plantae,55402,True
Setophaga ruticilla,American Redstart,Aves,10247,True
Clintonia borealis,bluebead lily,Plantae,53794,True
Thuja occidentalis,northern whitecedar,Plantae,54037,True
Prunus serotina,black cherry,Plantae,54834,True
Bombycilla cedrorum,Cedar Waxwing,Aves,7428,True
Geothlypis trichas,Common Yellowthroat,Aves,9721,True
Ammodramus savannarum,Grasshopper Sparrow,Aves,10139,True
Vireo olivaceus,Red-eyed Vireo,Aves,891704,True
Gavia immer,Common Loon,Aves,4626,True
Myiarchus crinitus,Great Crested Flycatcher,Aves,16028,True
Libellula quadrimaculata,Four-spotted Skimmer,Insecta,57443,True
Lycosoidea,Wolf Spiders and Allies,Arachnida,367161,True
Corvus corax,Common Raven,Aves,8010,True
Lithospermum canescens,hoary puccoon,Plantae,48595,True
Bombus auricomus,Black-and-gold Bumble Bee,Insecta,198856,True
Rosa arkansana,prairie rose,Plantae,83065,True
Lathyrus venosus,veiny pea,Plantae,164444,True
Scarabaeinae,Dung Beetles,Insecta,125819,True
Testudines,Turtles and Tortoises,Reptilia,39532,True
Cathartes aura,Turkey Vulture,Aves,4756,True
Arctosa littoralis,Shoreline Wolf Spider,Arachnida,67712,True
Phasianidae,"Pheasants, Grouse, and Allies",Aves,574,True
Enallagma,Bluets,Insecta,50175,True
Satyrium edwardsii,Edwards' Hairstreak,Insecta,81566,True
Megalotomus quinquespinosus,Lupine Bug,Insecta,327623,True
Geotrupes splendidus,Splendid Earth-boring Beetle,Insecta,84764,True
Celithemis elisa,Calico Pennant,Insecta,63160,True
Vanessa atalanta,Red Admiral,Insecta,49133,True
Plestiodon septentrionalis,Prairie Skink,Reptilia,73801,True
Oxyopes salticus,Striped Lynx Spider,Arachnida,83844,True
Myrmeleontidae,Antlions and Owlflies,Insecta,49358,True
Chrysops,,Insecta,49703,True
Cicindela formosa generosa,Eastern Sand Tiger Beetle,Insecta,82455,True
Stratiomyidae,Soldier Flies,Insecta,70127,True
Proctacanthus,,Insecta,61639,True
Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Insecta,216649,True
Graphisurus fasciatus,Banded Graphisurus,Insecta,322989,True
Polioptila caerulea,Blue-gray Gnatcatcher,Aves,7493,True
Bonasa umbellus,Ruffed Grouse,Aves,890,True
Sympetrum,Meadowhawks,Insecta,51556,True
Anisoptera,Dragonflies,Insecta,47927,True
Libellula pulchella,Twelve-spotted Skimmer,Insecta,81495,True
Buteo lineatus,Red-shouldered Hawk,Aves,5206,True
Leucorrhinia,Whitefaces,Insecta,55407,True
Vermivora chrysoptera,Golden-winged Warbler,Aves,9807,True
Baptisia alba,white wild indigo,Plantae,126835,True
Lupinus perennis,sundial lupine,Plantae,81528,True
Asclepias syriaca,common milkweed,Plantae,47911,True
Formica obscuripes,Western Thatching Ant,Insecta,69267,True
Decodon verticillatus,swamp loosestrife,Plantae,83456,True
Nelumbo lutea,American lotus,Plantae,84160,True
Epargyreus clarus,Silver-spotted Skipper,Insecta,81559,True
Scolopax minor,American Woodcock,Aves,3936,True
Lethe anthedon,Northern Pearly-eye,Insecta,198812,True
Megaceryle alcyon,Belted Kingfisher,Aves,2548,True
Megarhyssa atrata,Black Giant Ichneumonid Wasp,Insecta,47941,True
Buprestidae,Metallic Wood-boring Beetles,Insecta,54964,True
Dasymutilla bioculata,,Insecta,122639,True
Megachilinae,,Insecta,314114,True
Passerina cyanea,Indigo Bunting,Aves,10227,True
Setophaga petechia,Yellow Warbler,Aves,145238,True
Sympetrum obtrusum,White-faced Meadowhawk,Insecta,113519,True
Dryobates villosus,Hairy Woodpecker,Aves,792990,True
Danaus plexippus,Monarch,Insecta,48662,True
Mniotilta varia,Black-and-white Warbler,Aves,10286,True
Cicindela sexguttata,Six-spotted Tiger Beetle,Insecta,49566,True
Troglodytes aedon,House Wren,Aves,7562,True
Didelphis virginiana,Virginia Opossum,Mammalia,42652,True
Zapus hudsonius,Meadow Jumping Mouse,Mammalia,43840,True
Scalopus aquaticus,Eastern Mole,Mammalia,47014,True
Anaxyrus americanus,American Toad,Amphibia,64968,True
Calopteron reticulatum,Reticulated Net-winged Beetle,Insecta,132719,True
Potentilla argentea,silverleaf cinquefoil,Plantae,124552,True
Amphicarpaea bracteata,American hog-peanut,Plantae,85485,True
Leucorrhinia intacta,Dot-tailed Whiteface,Insecta,104551,True
Reptilia,Reptiles,Reptilia,26036,True
Laetiporus sulphureus,chicken of the woods,Fungi,53713,True
Dichanthelium,rosette grasses,Plantae,128807,True
Spizelloides arborea,American Tree Sparrow,Aves,474210,True
Poecile atricapillus,Black-capped Chickadee,Aves,144815,True
Sitta canadensis,Red-breasted Nuthatch,Aves,14823,True
Tetraopes tetrophthalmus,Red Milkweed Beetle,Insecta,118559,True
Castor canadensis,American Beaver,Mammalia,43794,True
Regulus calendula,Ruby-crowned Kinglet,Aves,117095,True
Placentalia,Placental Mammals,Mammalia,848320,True
Circus hudsonius,Northern Harrier,Aves,558446,True
Stereum ostrea,false turkey-tail,Fungi,55496,True
Ostrya virginiana,American hophornbeam,Plantae,54771,True
Betula papyrifera,paper birch,Plantae,49883,True
Passerella iliaca,Fox Sparrow,Aves,9156,True
Spatula discors,Blue-winged Teal,Aves,558433,True
Corylus americana,American hazelnut,Plantae,54770,True
Flavoparmelia caperata,common greenshield lichen,Fungi,117943,True
Lycosidae,Wolf Spiders,Arachnida,47416,True
Ambystoma laterale,Blue-spotted Salamander,Amphibia,52354,True
Caudata,Salamanders,Amphibia,26718,True
Ondatra zibethicus,Muskrat,Mammalia,45763,True
Lycopodium clavatum,stag's-horn clubmoss,Plantae,77914,True
Hepatica americana,round-lobed hepatica,Plantae,741014,True
Mitchella repens,partridgeberry,Plantae,83799,True
Lynx rufus,Bobcat,Mammalia,41976,True
Alnus incana rugosa,swamp alder,Plantae,54237,True
Lycopodium,ground and creeping clubmosses,Plantae,47620,True
Acari,Mites and Ticks,Arachnida,52788,True
Chinavia hilaris,Green Stink Bug,Insecta,485010,True
Osmundaceae,Royal fern family,Plantae,63059,True
Podilymbus podiceps,Pied-billed Grebe,Aves,4246,True
Uvularia sessilifolia,sessile bellwort,Plantae,67772,True
Alnus,alders,Plantae,53352,True
Diphasiastrum digitatum,fan clubmoss,Plantae,122100,True
Lonicera dioica,Glaucous Honeysuckle,Plantae,119808,True
Ribes uva-crispa,European gooseberry,Plantae,54429,True
Arctiini,Tiger Moths,Insecta,82089,True
Steatoda,False Widow Spiders,Arachnida,61998,True
Phidippus audax,Bold Jumping Spider,Arachnida,53809,True
Piranga olivacea,Scarlet Tanager,Aves,9921,True
Lithospermum caroliniense,hairy puccoon,Plantae,224007,True
Penstemon grandiflorus,large-flowered beardtongue,Plantae,153351,True
Butorides virescens,Green Heron,Aves,5020,True
Rodentia,Rodents,Mammalia,43698,True
Hirundo rustica erythrogaster,American Barn Swallow,Aves,342169,True
Alypia octomaculata,Eight-spotted Forester Moth,Insecta,84950,True
Pelegrina,White-cheeked Jumping Spiders,Arachnida,117458,True
Hippodamia parenthesis,Parenthesis Lady Beetle,Insecta,133141,True
Lymnaeoidea,"Pond Snails, Bladder Snails, and Allies",Mollusca,133806,True
Dermacentor variabilis,American Dog Tick,Arachnida,52155,True
Phidippus princeps,Grayish Jumping Spider,Arachnida,153535,True
Lucanus placidus,,Insecta,224156,True
Macrodactylus,American Rose Chafers,Insecta,177203,True
Pachybrachis,Scriptured Leaf Beetles,Insecta,176326,True
Cornus canadensis,Canadian bunchberry,Plantae,47192,True
Celastrus scandens,American bittersweet,Plantae,64538,True
Amelanchier,serviceberries,Plantae,49230,True
Trichodezia albovittata,White-striped Black,Insecta,52943,True
Lon hobomok,Hobomok Skipper,Insecta,1081323,True
Carex hystericina,bottlebrush sedge,Plantae,60750,True
Maianthemum racemosum,Solomon's plume,Plantae,51062,True
Melilotus,melilots and sweetclovers,Plantae,57067,True
Lathyrus palustris,marsh pea,Plantae,77642,True
Antennaria neglecta,Field Pussytoes,Plantae,127005,True
Hieracium longipilum,hairy hawkweed,Plantae,163790,True
Aquilegia canadensis,red columbine,Plantae,49868,True
Equisetum,horsetails,Plantae,47746,True
Onoclea sensibilis,sensitive fern,Plantae,82576,True
Osmunda claytoniana,interrupted fern,Plantae,63058,True
Vaccinium angustifolium,lowbush blueberry,Plantae,84542,True
Lysimachia borealis,starflower,Plantae,204174,True
Maianthemum canadense,Canada mayflower,Plantae,67748,True
Aralia nudicaulis,wild sarsaparilla,Plantae,119828,True
Polygonatum,Solomon's-seals,Plantae,51056,True
Betulaceae,birch family,Plantae,49155,True
Cercopoidea,Spittlebugs and Froghoppers,Insecta,56194,True
Lithospermum,"stoneseeds, puccoons, and gromwells",Plantae,59925,True
Dichanthelium oligosanthes scribnerianum,Scribner's Panicgrass,Plantae,240305,True
Tragopogon,Salsifies,Plantae,54142,True
Amorpha canescens,leadplant,Plantae,158286,True
Berteroa incana,hoary alyssum,Plantae,75762,True
Rosa blanda,smooth rose,Plantae,83062,True
Cardamine bulbosa,bulbous cress,Plantae,159830,True
Tradescantia occidentalis,Western Spiderwort,Plantae,121785,True
Artemisia campestris,Field Sagewort,Plantae,127960,True
Stipa,Needle Grasses,Plantae,72378,True
Boechera stricta,drummond's rockcress,Plantae,75824,True
Lysimachia thyrsiflora,Tufted Loosestrife,Plantae,77917,True
Osmunda spectabilis,American Royal Fern,Plantae,1002684,True
Rumex acetosella,Sheep's sorrel,Plantae,53195,True
Penstemon digitalis,foxglove beardtongue,Plantae,81942,True
Galium boreale,Northern Bedstraw,Plantae,77188,True
Apocynum androsaemifolium,spreading dogbane,Plantae,47359,True
Ladona julia,Chalk-fronted Corporal,Insecta,57458,True
Campanula rotundifolia,Harebell,Plantae,62312,True
Caelifera,"Grasshoppers, Locusts, and Allies",Insecta,67688,True
Maevia inclemens,Dimorphic Jumping Spider,Arachnida,133054,True
Philodromus,,Arachnida,56611,True
Megisto cymela,Little Wood Satyr,Insecta,58603,True
Tabaninae,Horse Flies,Insecta,332389,True
Coccinella septempunctata,Seven-spotted Lady Beetle,Insecta,51702,True
Pilosella aurantiaca,orange hawkweed,Plantae,711103,True
Gryllus veletis,Spring Field Cricket,Insecta,129135,True
Cucujiformia,Cucujiform Beetles,Insecta,372852,True
Asilinae,,Insecta,326683,True
Halictinae,,Insecta,134106,True
Bison bison,American Bison,Mammalia,42408,True
Phyciodes cocyta,Northern Crescent,Insecta,58576,True
Vulpes,Typical Foxes,Mammalia,42054,True
Mephitidae,Skunks and Stink-badgers,Mammalia,41871,True
Physalis virginiana,Virginia groundcherry,Plantae,154825,True
Anax junius,Common Green Darner,Insecta,67731,True
Phalangium opilio,European Harvestman,Arachnida,84644,True
Phidippus clarus,Brilliant Jumping Spider,Arachnida,58416,True
Chlosyne nycteis,Silvery Checkerspot,Insecta,62978,True
Archips,,Insecta,127662,True
Pyractomena,,Insecta,47882,True
Misumena vatia,Goldenrod Crab Spider,Arachnida,55746,True
Parmelioideae,,Fungi,1094690,True
Scudderia,Scudder's Bush Katydids,Insecta,55958,True
Populus tremuloides,trembling aspen,Plantae,54840,True
Verbena stricta,hoary vervain,Plantae,63319,True
Bombus griseocollis,Brown-belted Bumble Bee,Insecta,120215,True
Araneidae,Orbweavers,Arachnida,47535,True
Dalea candida,white prairie clover,Plantae,81598,True
Rudbeckia triloba,brown-eyed Susan,Plantae,136376,True
Tremex columba,Pigeon Horntail,Insecta,63275,True
Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970,True
Eupeodes americanus,,Insecta,963010,True
Coreopsis palmata,Prairie Coreopsis,Plantae,130373,True
Macrodactylus subspinosus,American Rose Chafer,Insecta,130504,True
Polygonia comma,Eastern Comma,Insecta,54064,True
Hesperostipa spartea,porcupine needlegrass,Plantae,163706,True
Phlox pilosa,prairie phlox,Plantae,127020,True
Sagittaria,Arrowheads,Plantae,48071,True
Climaciella brunnea,Brown Wasp Mantidfly,Insecta,133448,True
Idia,,Insecta,127462,True
Dielis plumipes,Feather-legged Scoliid Wasp,Insecta,893823,True
Euphydryas phaeton,Baltimore Checkerspot,Insecta,58578,True
Efferia albibarbis,,Insecta,61608,True
Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,Mammalia,179988,True
Haploa contigua,Neighbor Moth,Insecta,220910,True
Salticidae,Jumping Spiders,Arachnida,48139,True
Speyeria aphrodite,Aphrodite Fritillary,Insecta,58563,True
Bombus bimaculatus,Two-spotted Bumble Bee,Insecta,52779,True
Hyla versicolor,Gray Treefrog Complex,Amphibia,922247,True
Stachys,Hedgenettles,Plantae,51229,True
Hexagenia,Giant Mayflies,Insecta,51112,True
Attulus fasciger,Asiatic Wall Jumping Spider,Arachnida,1070908,True
