scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Kyphosus sydneyanus,Silver Drummer,Actinopterygii,451299,
Physophora hydrostatica,Hula Skirt Siphonophore,Animalia,201716,
Euphausiacea,krill,Animalia,153112,
Jasus edwardsii,Southern Rock Lobster,Animalia,103601,
Sepioteuthis,Reef Squids,Mollusca,49442,
Dosima fascicularis,Buoy Barnacle,Animalia,462187,True
Myopsida,Inshore Squids,Mollusca,246133,
Dolopichthys,,Actinopterygii,88020,
Uroteuthis noctiluca,Luminous bay squid,Mollusca,700303,
Rhinoptera steindachneri,Golden Cownose Ray,Animalia,56769,
Diphyidae,,Animalia,195408,
Abylopsis,,Animalia,195403,
Mesodinium rubrum,,Chromista,320120,
Anthopleura,,Animalia,49052,
Laminariales,Kelps,Chromista,68789,
Cyclosalpa affinis,,Animalia,324773,
Chrysaora chesapeakei,Bay Nettle,Animalia,742930,
Numenius phaeopus,Whimbrel,Aves,3901,True
Tegula funebralis,Black Tegula,Mollusca,460365,True
Mytilus californianus,California Mussel,Mollusca,62806,True
Egregia menziesii,Feather Boa Kelp,Chromista,67419,True
Chthamalus,,Animalia,128743,
Patellogastropoda,True Limpets,Mollusca,47679,
Macrocystis,,Chromista,124749,
Janthina umbilicata,Elongated Violet Snail,Mollusca,254083,
Exocoetidae,Flyingfishes,Actinopterygii,85777,
Katsuwonus pelamis,Skipjack Tuna,Actinopterygii,56943,
Lottioidea,,Mollusca,551398,
Littorina,Periwinkles,Mollusca,48919,
Macrocystis pyrifera,Giant Kelp,Chromista,124748,True
Lepas testudinata,,Animalia,519379,
Taenioides,,Actinopterygii,92363,
Pteriomorphia,Pteriomorph Bivalves,Mollusca,372769,
Miozoa,dinoflagellates and allies,Chromista,792744,
Rhincodon typus,Whale Shark,Animalia,52188,
Mobula birostris,Oceanic Manta Ray,Animalia,623966,
Planes marinus,Drifter Crab,Animalia,459659,
Stephanocystis,,Chromista,126128,
Lagocephalus cheesemanii,Cheeseman's Puffer,Actinopterygii,446144,
Discomedusae,Discomedusans,Animalia,551480,
Seriola lalandi,Yellowtail Kingfish,Actinopterygii,51550,
Cyanea annaskala,Lion's Mane Jellyfish,Animalia,520285,
Chrysaora pentastoma,Australian Sea Nettle,Animalia,742933,
Phlyctenactis tuberculosa,Wandering Sea Anemone,Animalia,344569,
Nematoscelis megalops,,Animalia,296032,
Albunea,,Animalia,248563,
Squilla empusa,West Atlantic Mantis Shrimp,Animalia,55805,
Ommastrephes brevimanus,,Mollusca,1104201,
Planes,,Animalia,85040,
Pyrosoma atlanticum,,Animalia,51108,True
Hexabranchus sanguineus,Spanish Dancer,Mollusca,244849,
Centrolophidae,Medusafishes,Actinopterygii,51416,
Lepas pectinata,Small Goose Barnacle,Animalia,329099,
Cyclosalpa bakeri,,Animalia,490913,
Rosacea,,Animalia,645865,
Decapodiformes,Squids and Cuttlefishes,Mollusca,127352,
Salpidae,Salps,Animalia,122325,
Aplysia californica,California Seahare,Mollusca,48655,True
Corallinaceae,coralline algae,Plantae,117828,True
Aurelia coerulea,,Animalia,501587,
Pollicipes polymerus,Gooseneck Barnacle,Animalia,48786,True
Tetraclita rubescens,Pink Volcano Barnacle,Animalia,121682,True
Endocladia muricata,Scouring-pad alga,Plantae,117781,
Lottia,Lottia Limpets,Mollusca,48752,True
Lottia gigantea,Owl Limpet,Mollusca,53750,True
Polyplacophora,Chitons,Mollusca,47429,True
Nuttallina californica,California Spiny Chiton,Mollusca,63048,True
Heptacarpus,,Animalia,63680,
Eschrichtius robustus,Grey Whale,Mammalia,41478,
Lagenorhynchus obliquidens,Pacific White-sided Dolphin,Mammalia,41510,
Puffinus opisthomelas,Black-vented Shearwater,Aves,4105,
Sepioteuthis australis,Southern Reef Squid,Mollusca,201542,
Rhopilema verrilli,Mushroom Jelly,Animalia,349374,
Ophiothrix spiculata,Western Spiny Brittle Star,Animalia,48835,True
Strongylocentrotus purpuratus,Pacific Purple Sea Urchin,Animalia,48035,True
Ophiopteris papillosa,Flat-spined Brittle Star,Animalia,56688,
Pleuroscopus pseudodorsalis,Scaled Stargazer,Actinopterygii,531107,
Nomeus gronovii,Bluebottle-fish,Actinopterygii,194905,
Sinistrofulgur pulleyi,Texas Lightning Whelk,Mollusca,499861,
Chrysaora plocamia,South American Sea Nettle,Animalia,256091,
Thaliacea,Thaliaceans,Animalia,51104,
Salpa thompsoni,,Animalia,800860,
Creseis acicula,,Mollusca,255485,
Phronima,,Animalia,195337,
Beroe forskalii,,Animalia,210415,
Atherina,,Actinopterygii,86714,
Neis cordigera,,Animalia,636263,
Scyphozoa,True Jellies,Animalia,48332,
Coleusia magna,,Animalia,1132661,
Liriope tetraphylla,,Animalia,256083,
Amphipoda,Amphipods,Animalia,47628,True
Pachygrapsus crassipes,Striped Shore Crab,Animalia,47188,True
Lottia conus,,Mollusca,973097,
Pagurus samuelis,Blueband Hermit Crab,Animalia,49095,True
Porifera,Sponges,Animalia,48824,
Lottia austrodigitalis,Southern Finger Limpet,Mollusca,211047,
Anthopleura elegantissima,Aggregating Anemone,Animalia,52564,True
Panulirus interruptus,California Spiny Lobster,Animalia,61371,True
Ascidiacea,Sea Squirts,Animalia,47811,
Distichlis spicata,Saltgrass,Plantae,58372,True
Mesembryanthemum nodiflorum,Slender Iceplant,Plantae,71191,True
Argonauta nodosus,Knobbed Argonaut,Mollusca,798081,
Argyropelecus,Silver Hatchetfishes,Actinopterygii,86625,
Hypsoblennius gilberti,Notchbrow Blenny,Actinopterygii,103211,
Thecostraca,Barnacles and Allies,Animalia,144117,
Decapoda,Decapods,Animalia,47186,
Californiconus californicus,California Cone,Mollusca,499874,True
Sphaeromatidae,Typical Seapills,Animalia,49532,
Senticaudata,,Animalia,869842,
Idoteidae,Common Valvetails,Animalia,48581,
Laurencia,,Plantae,128238,True
Patiria miniata,Bat Star,Animalia,48830,True
Corallina officinalis,Common Coralline,Plantae,123632,True
Aplysioidea,Seahares,Mollusca,775828,
Rhodophyta,red algae,Plantae,57774,True
Animalia,Animals,Animalia,1,True
Jania,Red Coralline Algae,Plantae,131377,
Florideophyceae,Florideophycean algae,Plantae,57775,
Megathura crenulata,Giant Keyhole Limpet,Mollusca,48645,
Fissurella volcano,Volcano Keyhole Limpet,Mollusca,64146,True
Tegula eiseni,Western Banded Tegula,Mollusca,200143,True
Dictyota,Y-branched Algae,Chromista,51021,
Clinocottus analis,Woolly Sculpin,Actinopterygii,117533,True
Felimare californiensis,California Blue Dorid,Mollusca,469723,
Colpomenia sinuosa,Oyster thief,Chromista,328391,
Zonaria farlowii,,Chromista,474134,
Platyhelminthes,Flatworms,Animalia,52319,
Aplysia vaccaria,Black Seahare,Mollusca,49857,
Aiolochroia thiona,,Animalia,256011,
Phragmatopoma californica,California Sandcastle Worm,Animalia,59635,True
Cyanoplax hartwegii,Hartweg's Chiton,Mollusca,131185,True
Life,,,48460,True
Botryocladia pseudodichotoma,Sea Grapes,Plantae,327042,
Taliepus nuttallii,Southern Kelp Crab,Animalia,367432,True
Cancridae,Rock Crabs,Animalia,47828,
Cyanea rosea,,Animalia,520286,
Tunicata,Tunicates,Animalia,130868,
Ruditapes philippinarum,Japanese Littleneck,Mollusca,343269,True
Crassadoma gigantea,Giant Rock Scallop,Mollusca,54526,True
Romaleon antennarium,Pacific Rock Crab,Animalia,202315,True
Metacarcinus anthonyi,Yellow Rock Crab,Animalia,204580,
Heterotremata,Heterotrematan Crabs,Animalia,447514,
Cycloxanthops novemdentatus,Nine-tooth Pebble Crab,Animalia,469740,
Donax gouldii,Gould Beanclam,Mollusca,200139,True
Actinopterygii,Ray-finned Fishes,Actinopterygii,47178,True
Melo amphora,Melon Shell,Mollusca,369086,
