taxon_id,common_name,scientific_name,rank,parent_id,taxon_ids
89310,Pelagic Pufferfishes,Lagocephalus,genus,49266,1|2|47178|47177|49266|89310
120635,Ocean Puffer,Lagocephalus lagocephalus,species,89310,1|2|47178|47177|49266|89310|120635
333777,Fat-armed Jellies,Catostylidae,family,69831,1|47534|48332|69831|333777
644444,,Crambionella,genus,333777,1|47534|48332|69831|333777|644444
502402,,Acromitus,genus,333777,1|47534|48332|69831|333777|502402
502401,River Jelly,Acromitus flagellatus,species,502402,1|47534|48332|69831|333777|502402|502401
333778,Blubber Jellies,Catostylus,genus,333777,1|47534|48332|69831|333777|333778
333776,Blue Blubber Jelly,Catostylus mosaicus,species,333778,1|47534|48332|69831|333777|333778|333776
69675,Yellowfin Tuna,Thunnus albacares,species,69676,1|2|47178|1303739|47266|69676|69675
122326,Salps,Salpida,order,51104,1|2|51104|122326
122325,Salps,Salpidae,family,122326,1|2|51104|122326|122325
643486,,Soestia,genus,122325,1|2|51104|122326|122325|643486
690046,,Soestia zonaria,species,643486,1|2|51104|122326|122325|643486|690046
192711,Violet Globe Snail,Janthina globosa,species,121656,1|47115|47114|122558|121656|192711
51219,,Aglaopheniidae,family,48925,1|47534|48921|48925|51219
51218,Ostrich-Plume Hydroids,Aglaophenia,genus,51219,1|47534|48921|48925|51219|51218
410430,Raft-fish,Schedophilus maculatus,species,91906,1|2|47178|1303739|51416|91906|410430
3,Birds,Aves,class,2,1|2|3
67561,Shorebirds and Allies,Charadriiformes,order,3,1|2|3|67561
71295,"Auks, Murres, Guillemots, and Puffins",Alcidae,family,67561,1|2|3|67561|71295
4413,True Guillemots,Cepphus,genus,71295,1|2|3|67561|71295|4413
4415,Pigeon Guillemot,Cepphus columba,species,4413,1|2|3|67561|71295|4413|4415
50532,,Fionidae,family,47113,1|47115|47114|47113|50532
50533,,Fiona,genus,50532,1|47115|47114|47113|50532|50533
50531,,Fiona pinnata,species,50533,1|47115|47114|47113|50532|50533|50531
41573,Carnivorans,Carnivora,order,40151,1|2|40151|41573
41687,Earless Seals,Phocidae,family,41573,1|2|40151|41573|41687
41707,,Phoca,genus,41687,1|2|40151|41573|41687|41707
41708,Harbor Seal,Phoca vitulina,species,41707,1|2|40151|41573|41687|41707|41708
117766,Pacific Harbor Seal,Phoca vitulina richardii,subspecies,41708,1|2|40151|41573|41687|41707|41708|117766
196615,Stingrays,Myliobatiformes,order,47273,1|2|47273|196615
715805,Devil Rays,Mobulidae,family,196615,1|2|47273|196615|715805
49697,Devil Rays,Mobula,genus,715805,1|2|47273|196615|715805|49697
105923,Spinetail Devil Ray,Mobula mobular,species,49697,1|2|47273|196615|715805|49697|105923
1303727,,Carangiformes,order,47178,1|2|47178|1303727
47232,Jacks,Carangidae,family,1303727,1|2|47178|1303727|47232
90150,,Naucrates,genus,47232,1|2|47178|1303727|47232|90150
118710,Pilotfish,Naucrates ductor,species,90150,1|2|47178|1303727|47232|90150|118710
152923,,Cestida,order,117708,1|51508|117708|152923
153457,Venus' Girdles,Cestidae,family,152923,1|51508|117708|152923|153457
153458,,Cestum,genus,153457,1|51508|117708|152923|153457|153458
153456,Venus' Girdle,Cestum veneris,species,153458,1|51508|117708|152923|153457|153458|153456
48222,"kelp, diatoms, and allies",Chromista,kingdom,48460,48222
48221,,Ochrophyta,phylum,48222,48222|48221
48220,brown algae,Phaeophyceae,class,48221,48222|48221|48220
48219,Fucoids,Fucales,order,48220,48222|48221|48220|48219
126125,Sargassum and Allies,Sargassaceae,family,48219,48222|48221|48220|48219|126125
130178,Sargassum,Sargassum,genus,126125,48222|48221|48220|48219|126125|130178
85514,Cyclopoid Copepods,Cyclopoida,order,1091452,1|47120|1091452|85514
329113,,Sapphirinidae,family,85514,1|47120|1091452|85514|329113
329118,,Sapphirina,genus,329113,1|47120|1091452|85514|329113|329118
47797,Sea Anemones,Actiniaria,order,47533,1|47534|47533|47797
346895,,Boloceroididae,family,47797,1|47534|47533|47797|346895
346894,,Boloceroides,genus,346895,1|47534|47533|47797|346895|346894
472036,Swimming anemone,Boloceroides mcmurrichi,species,346894,1|47534|47533|47797|346895|346894|472036
245629,,Carybdeidae,family,246149,1|47534|68095|246149|245629
247158,,Carybdea,genus,245629,1|47534|68095|246149|245629|247158
528591,Jimble,Carybdea rastoni,species,247158,1|47534|68095|246149|245629|247158|528591
49235,Herrings,Clupeiformes,order,47178,1|2|47178|49235
1303607,,Spratelloididae,family,49235,1|2|47178|49235|1303607
92179,,Spratelloides,genus,1303607,1|2|47178|49235|1303607|92179
195136,,Euphausia,genus,195134,1|47120|47187|153112|195134|195136
995121,Mosaic Jellies,Leptobrachidae,family,69831,1|47534|48332|69831|995121
487380,,Thysanostoma,genus,995121,1|47534|48332|69831|995121|487380
509561,Pelagic Purple Jelly,Thysanostoma loriferum,species,487380,1|47534|48332|69831|995121|487380|509561
105926,Chilean Devil Ray,Mobula tarapacana,species,49697,1|2|47273|196615|715805|49697|105926
195481,,Oceaniidae,family,48922,1|47534|48921|48922|195481
195485,,Turritopsis,genus,195481,1|47534|48921|48922|195481|195485
153461,,Leucotheidae,family,152925,1|51508|117708|152925|153461
153460,,Leucothea,genus,153461,1|51508|117708|152925|153461|153460
51485,"Needlefishes, Halfbeaks, and Allies",Beloniformes,order,47178,1|2|47178|51485
57298,Halfbeaks,Hemiramphidae,family,51485,1|2|47178|51485|57298
57301,,Hyporhamphus,genus,57298,1|2|47178|51485|57298|57301
353484,Eastern Sea Garfish,Hyporhamphus australis,species,57301,1|2|47178|51485|57298|57301|353484
256070,,Aequorea macrodactyla,species,191502,1|47534|48921|48925|171652|191502|256070
117709,Cydippids,Cydippida,order,117708,1|51508|117708|117709
117710,Sea Gooseberries,Pleurobrachiidae,family,117709,1|51508|117708|117709|117710
117711,,Pleurobrachia,genus,117710,1|51508|117708|117709|117710|117711
85108,Ram's Horn Squids,Spirulida,order,47459,1|47115|47459|85108
85109,Ram's Horn Squids,Spirulidae,family,85108,1|47115|47459|85108|85109
85110,,Spirula,genus,85109,1|47115|47459|85108|85109|85110
85107,Ram's Horn Squid,Spirula spirula,species,85110,1|47115|47459|85108|85109|85110|85107
52319,Flatworms,Platyhelminthes,phylum,1,1|52319
52318,Polyclad Flatworms,Polycladida,order,52319,1|52319|52318
554753,Hoodwinker Mola,Mola tecta,species,49604,1|2|47178|47177|49607|49604|554753
494535,Munidid Squat Lobsters,Munididae,family,47186,1|47120|47187|47186|494535
248332,,Munida,genus,494535,1|47120|47187|47186|494535|248332
486999,Swarming Squat Lobster,Munida gregaria,species,248332,1|47120|47187|47186|494535|248332|486999
41524,Common Dolphins,Delphinus,genus,41479,1|2|40151|152870|41479|41524
41525,Long-beaked Common Dolphin,Delphinus capensis,species,41524,1|2|40151|152870|41479|41524|41525
246134,Pelagic Squids,Oegopsida,order,47459,1|47115|47459|246134
83316,Flying Squids,Ommastrephidae,family,246134,1|47115|47459|246134|83316
361766,,Todarodes,genus,83316,1|47115|47459|246134|83316|361766
432545,European Flying Squid,Todarodes sagittatus,species,361766,1|47115|47459|246134|83316|361766|432545
764920,Versurigid Jellies,Versurigidae,family,69831,1|47534|48332|69831|764920
710376,,Versuriga,genus,764920,1|47534|48332|69831|764920|710376
325995,Victoria's Crystal Jelly,Aequorea victoria,species,191502,1|47534|48921|48925|171652|191502|325995
779271,Egg-yolk Jellies,Phacellophoridae,family,48331,1|47534|48332|48331|779271
52967,,Phacellophora,genus,779271,1|47534|48332|48331|779271|52967
52966,Egg-yolk Jelly,Phacellophora camtschatica,species,52967,1|47534|48332|48331|779271|52967|52966
60670,,Mitrocomidae,family,48925,1|47534|48921|48925|60670
60669,,Mitrocoma,genus,60670,1|47534|48921|48925|60670|60669
493918,,Mitrocoma cellularia,species,60669,1|47534|48921|48925|60670|60669|493918
786996,Pacific Lion's Mane Jelly,Cyanea ferruginea,species,154711,1|47534|48332|48331|154710|154711|786996
130235,Greater Moon Jelly,Aurelia labiata,species,48329,1|47534|48332|48331|48330|48329|130235
4503,Puffins,Fratercula,genus,71295,1|2|3|67561|71295|4503
4509,Tufted Puffin,Fratercula cirrhata,species,4503,1|2|3|67561|71295|4503|4509
41565,,Megaptera,genus,41546,1|2|40151|152870|41546|41565
41566,Humpback Whale,Megaptera novaeangliae,species,41565,1|2|40151|152870|41546|41565|41566
4558,Synthliboramphus Murrelets,Synthliboramphus,genus,71295,1|2|3|67561|71295|4558
4561,Ancient Murrelet,Synthliboramphus antiquus,species,4558,1|2|3|67561|71295|4558|4561
67565,Tubenoses,Procellariiformes,order,3,1|2|3|67565
71326,Northern Storm-Petrels,Hydrobatidae,family,67565,1|2|3|67565|71326
4063,,Oceanodroma,genus,71326,1|2|3|67565|71326|4063
4080,Leach's Storm-Petrel,Oceanodroma leucorhoa,species,4063,1|2|3|67565|71326|4063|4080
41562,Fin Whale,Balaenoptera physalus,species,41547,1|2|40151|152870|41546|41547|41562
41437,Porpoises,Phocoenidae,family,152870,1|2|40151|152870|41437
41445,,Phocoenoides,genus,41437,1|2|40151|152870|41437|41445
41446,Dall's Porpoise,Phocoenoides dalli,species,41445,1|2|40151|152870|41437|41445|41446
4515,Murres,Uria,genus,71295,1|2|3|67561|71295|4515
4519,Common Murre,Uria aalge,species,4515,1|2|3|67561|71295|4515|4519
41770,Mustelids,Mustelidae,family,41573,1|2|40151|41573|41770
41859,,Enhydra,genus,41770,1|2|40151|41573|41770|41859
41860,Sea Otter,Enhydra lutris,species,41859,1|2|40151|41573|41770|41859|41860
133061,Northern Sea Otter,Enhydra lutris kenyoni,subspecies,41860,1|2|40151|41573|41770|41859|41860|133061
41736,Eared Seals,Otariidae,family,41573,1|2|40151|41573|41736
41754,,Eumetopias,genus,41736,1|2|40151|41573|41736|41754
41755,Steller Sea Lion,Eumetopias jubatus,species,41754,1|2|40151|41573|41736|41754|41755
4526,Brachyramphus Murrelets,Brachyramphus,genus,71295,1|2|3|67561|71295|4526
4531,Marbled Murrelet,Brachyramphus marmoratus,species,4526,1|2|3|67561|71295|4526|4531
4552,,Cerorhinca,genus,71295,1|2|3|67561|71295|4552
4553,Rhinoceros Auklet,Cerorhinca monocerata,species,4552,1|2|3|67561|71295|4552|4553
245602,,Pandeidae,family,48922,1|47534|48921|48922|245602
246862,,Leuckartiara,genus,245602,1|47534|48921|48922|245602|246862
776381,,Leuckartiara longicalcar,species,246862,1|47534|48921|48922|245602|246862|776381
768233,,Poralia,genus,48330,1|47534|48332|48331|48330|768233
776815,Red Jelly,Poralia rufescens,species,768233,1|47534|48332|48331|48330|768233|776815
1303731,,Centrarchiformes,order,47178,1|2|47178|1303731
49688,Sea Chubs,Kyphosidae,family,1303731,1|2|47178|1303731|49688
49689,Chubs,Kyphosus,genus,49688,1|2|47178|1303731|49688|49689
451299,Silver Drummer,Kyphosus sydneyanus,species,49689,1|2|47178|1303731|49688|49689|451299
195395,,Physophoridae,family,152823,1|47534|48921|152823|195395
195393,,Physophora,genus,195395,1|47534|48921|152823|195395|195393
201716,Hula Skirt Siphonophore,Physophora hydrostatica,species,195393,1|47534|48921|152823|195395|195393|201716
47297,Spiny Lobsters,Palinuridae,family,47186,1|47120|47187|47186|47297
89180,,Jasus,genus,47297,1|47120|47187|47186|47297|89180
103601,Southern Rock Lobster,Jasus edwardsii,species,89180,1|47120|47187|47186|47297|89180|103601
246133,Inshore Squids,Myopsida,order,47459,1|47115|47459|246133
49441,Pencil Squids,Loliginidae,family,246133,1|47115|47459|246133|49441
49442,Reef Squids,Sepioteuthis,genus,49441,1|47115|47459|246133|49441|49442
61542,Anglerfishes,Lophiiformes,order,47178,1|2|47178|61542
61543,Dreamers,Oneirodidae,family,61542,1|2|47178|61542|61543
88020,,Dolopichthys,genus,61543,1|2|47178|61542|61543|88020
474812,,Uroteuthis,genus,49441,1|47115|47459|246133|49441|474812
700303,Luminous bay squid,Uroteuthis noctiluca,species,474812,1|47115|47459|246133|49441|474812|700303
1032446,Cownose Rays,Rhinopteridae,family,196615,1|2|47273|196615|1032446
56770,Cownose Rays,Rhinoptera,genus,1032446,1|2|47273|196615|1032446|56770
56769,Golden Cownose Ray,Rhinoptera steindachneri,species,56770,1|2|47273|196615|1032446|56770|56769
195408,,Diphyidae,family,152823,1|47534|48921|152823|195408
195407,,Abylidae,family,152823,1|47534|48921|152823|195407
195403,,Abylopsis,genus,195407,1|47534|48921|152823|195407|195403
118996,Ciliates,Ciliophora,phylum,48222,48222|118996
152065,,Litostomatea,class,118996,48222|118996|152065
320124,,Mesodiniidae,family,152065,48222|118996|152065|320124
320125,,Mesodinium,genus,320124,48222|118996|152065|320124|320125
320120,,Mesodinium rubrum,species,320125,48222|118996|152065|320124|320125|320120
47796,Actiniid Sea Anemones,Actiniidae,family,47797,1|47534|47533|47797|47796
49052,,Anthopleura,genus,47796,1|47534|47533|47797|47796|49052
68789,Kelps,Laminariales,order,48220,48222|48221|48220|68789
324774,,Cyclosalpa,genus,122325,1|2|51104|122326|122325|324774
324773,,Cyclosalpa affinis,species,324774,1|2|51104|122326|122325|324774|324773
742930,Bay Nettle,Chrysaora chesapeakei,species,48483,1|47534|48332|48331|48482|48483|742930
49068,Symmetrical Sessile Barnacles,Balanomorpha,order,1091452,1|47120|1091452|49068
128745,Chthamalid Barnacles,Chthamalidae,family,49068,1|47120|1091452|49068|128745
128743,,Chthamalus,genus,128745,1|47120|1091452|49068|128745|128743
47679,True Limpets,Patellogastropoda,subclass,47114,1|47115|47114|47679
67425,,Laminariaceae,family,68789,48222|48221|48220|68789|67425
124749,,Macrocystis,genus,67425,48222|48221|48220|68789|67425|124749
254083,Elongated Violet Snail,Janthina umbilicata,species,121656,1|47115|47114|122558|121656|254083
85777,Flyingfishes,Exocoetidae,family,51485,1|2|47178|51485|85777
56939,,Katsuwonus,genus,47266,1|2|47178|1303739|47266|56939
56943,Skipjack Tuna,Katsuwonus pelamis,species,56939,1|2|47178|1303739|47266|56939|56943
551398,,Lottioidea,superfamily,47114,1|47115|47114|551398
85525,,Littorinimorpha,order,47114,1|47115|47114|85525
48918,Periwinkle Snails,Littorinidae,family,85525,1|47115|47114|85525|48918
48919,Periwinkles,Littorina,genus,48918,1|47115|47114|85525|48918|48919
519379,,Lepas testudinata,species,48780,1|47120|1091452|1066703|48779|48780|519379
1303725,,Gobiiformes,order,47178,1|2|47178|1303725
47308,Gobies,Gobiidae,family,1303725,1|2|47178|1303725|47308
92363,,Taenioides,genus,47308,1|2|47178|1303725|47308|92363
47584,Bivalves,Bivalvia,class,47115,1|47115|47584
372769,Pteriomorph Bivalves,Pteriomorphia,infraclass,47584,1|47115|47584|372769
792744,dinoflagellates and allies,Miozoa,phylum,48222,48222|792744
49967,Carpet Sharks,Orectolobiformes,order,47273,1|2|47273|49967
52189,Whale Sharks,Rhincodontidae,family,49967,1|2|47273|49967|52189
48841,,Rhincodon,genus,52189,1|2|47273|49967|52189|48841
52188,Whale Shark,Rhincodon typus,species,48841,1|2|47273|49967|52189|48841|52188
623966,Oceanic Manta Ray,Mobula birostris,species,49697,1|2|47273|196615|715805|49697|623966
459659,Drifter Crab,Planes marinus,species,85040,1|47120|47187|47186|47190|85040|459659
126128,,Stephanocystis,genus,126125,48222|48221|48220|48219|126125|126128
446144,Cheeseman's Puffer,Lagocephalus cheesemanii,species,89310,1|2|47178|47177|49266|89310|446144
551480,Discomedusans,Discomedusae,subclass,48332,1|47534|48332|551480
51552,Amberjacks,Seriola,genus,47232,1|2|47178|1303727|47232|51552
51550,Yellowtail Kingfish,Seriola lalandi,species,51552,1|2|47178|1303727|47232|51552|51550
520285,Lion's Mane Jellyfish,Cyanea annaskala,species,154711,1|47534|48332|48331|154710|154711|520285
742933,Australian Sea Nettle,Chrysaora pentastoma,species,48483,1|47534|48332|48331|48482|48483|742933
