taxon_id,common_name,scientific_name,has_globi
122325,Salps,Salpidae,
643486,,Soestia,
690046,,Soestia zonaria,
192711,Violet Globe Snail,Janthina globosa,
51219,,Aglaopheniidae,
51218,Ostrich-Plume Hydroids,Aglaophenia,
410430,Raft-fish,Schedophilus maculatus,
3,Birds,Aves,
67561,Shorebirds and Allies,Charadriiformes,
71295,"Auks, Murres, Guillemots, and Puffins",Alcidae,
4413,True Guillemots,Cepphus,
4415,Pigeon Guillemot,Cepphus columba,
50532,,Fionidae,
50533,,Fiona,
50531,,Fiona pinnata,
41573,Carnivorans,Carnivora,
41687,Earless Seals,Phocidae,
41707,,Phoca,
41708,Harbor Seal,Phoca vitulina,
117766,Pacific Harbor Seal,Phoca vitulina richardii,
196615,Stingrays,Myliobatiformes,
715805,Devil Rays,Mobulidae,
49697,Devil Rays,Mobula,
105923,Spinetail Devil Ray,Mobula mobular,
1303727,,Carangiformes,
47232,Jacks,Carangidae,
90150,,Naucrates,
118710,Pilotfish,Naucrates ductor,
152923,,Cestida,
153457,Venus' Girdles,Cestidae,
153458,,Cestum,
153456,Venus' Girdle,Cestum veneris,
48222,"kelp, diatoms, and allies",Chromista,
48221,,Ochrophyta,
48220,brown algae,Phaeophyceae,
48219,Fucoids,Fucales,
126125,Sargassum and Allies,Sargassaceae,
130178,Sargassum,Sargassum,
85514,Cyclopoid Copepods,Cyclopoida,
329113,,Sapphirinidae,
329118,,Sapphirina,
47797,Sea Anemones,Actiniaria,
346895,,Boloceroididae,
346894,,Boloceroides,
472036,Swimming anemone,Boloceroides mcmurrichi,
245629,,Carybdeidae,
247158,,Carybdea,
528591,Jimble,Carybdea rastoni,
49235,Herrings,Clupeiformes,
1303607,,Spratelloididae,
92179,,Spratelloides,
195136,,Euphausia,
995121,Mosaic Jellies,Leptobrachidae,
487380,,Thysanostoma,
509561,Pelagic Purple Jelly,Thysanostoma loriferum,
105926,Chilean Devil Ray,Mobula tarapacana,
195481,,Oceaniidae,
195485,,Turritopsis,
153461,,Leucotheidae,
153460,,Leucothea,
51485,"Needlefishes, Halfbeaks, and Allies",Beloniformes,
57298,Halfbeaks,Hemiramphidae,
57301,,Hyporhamphus,
353484,Eastern Sea Garfish,Hyporhamphus australis,
256070,,Aequorea macrodactyla,
117709,Cydippids,Cydippida,
117710,Sea Gooseberries,Pleurobrachiidae,
117711,,Pleurobrachia,
85108,Ram's Horn Squids,Spirulida,
85109,Ram's Horn Squids,Spirulidae,
85110,,Spirula,
85107,Ram's Horn Squid,Spirula spirula,
52319,Flatworms,Platyhelminthes,
52318,Polyclad Flatworms,Polycladida,
554753,Hoodwinker Mola,Mola tecta,
494535,Munidid Squat Lobsters,Munididae,
248332,,Munida,
486999,Swarming Squat Lobster,Munida gregaria,
41524,Common Dolphins,Delphinus,
41525,Long-beaked Common Dolphin,Delphinus capensis,
246134,Pelagic Squids,Oegopsida,
83316,Flying Squids,Ommastrephidae,
361766,,Todarodes,
432545,European Flying Squid,Todarodes sagittatus,
764920,Versurigid Jellies,Versurigidae,
710376,,Versuriga,
325995,Victoria's Crystal Jelly,Aequorea victoria,
779271,Egg-yolk Jellies,Phacellophoridae,
52967,,Phacellophora,
52966,Egg-yolk Jelly,Phacellophora camtschatica,
60670,,Mitrocomidae,
60669,,Mitrocoma,
493918,,Mitrocoma cellularia,
786996,Pacific Lion's Mane Jelly,Cyanea ferruginea,
130235,Greater Moon Jelly,Aurelia labiata,
4503,Puffins,Fratercula,
4509,Tufted Puffin,Fratercula cirrhata,
41565,,Megaptera,
41566,Humpback Whale,Megaptera novaeangliae,
4558,Synthliboramphus Murrelets,Synthliboramphus,
4561,Ancient Murrelet,Synthliboramphus antiquus,
67565,Tubenoses,Procellariiformes,
71326,Northern Storm-Petrels,Hydrobatidae,
4063,,Oceanodroma,
4080,Leach's Storm-Petrel,Oceanodroma leucorhoa,
41562,Fin Whale,Balaenoptera physalus,
41437,Porpoises,Phocoenidae,
41445,,Phocoenoides,
41446,Dall's Porpoise,Phocoenoides dalli,
4515,Murres,Uria,
4519,Common Murre,Uria aalge,
41770,Mustelids,Mustelidae,
41859,,Enhydra,
41860,Sea Otter,Enhydra lutris,
133061,Northern Sea Otter,Enhydra lutris kenyoni,
41736,Eared Seals,Otariidae,
41754,,Eumetopias,
41755,Steller Sea Lion,Eumetopias jubatus,
4526,Brachyramphus Murrelets,Brachyramphus,
4531,Marbled Murrelet,Brachyramphus marmoratus,
4552,,Cerorhinca,
4553,Rhinoceros Auklet,Cerorhinca monocerata,
245602,,Pandeidae,
246862,,Leuckartiara,
776381,,Leuckartiara longicalcar,
768233,,Poralia,
776815,Red Jelly,Poralia rufescens,
1303731,,Centrarchiformes,
49688,Sea Chubs,Kyphosidae,
49689,Chubs,Kyphosus,
451299,Silver Drummer,Kyphosus sydneyanus,
195395,,Physophoridae,
195393,,Physophora,
201716,Hula Skirt Siphonophore,Physophora hydrostatica,
47297,Spiny Lobsters,Palinuridae,
89180,,Jasus,
103601,Southern Rock Lobster,Jasus edwardsii,
246133,Inshore Squids,Myopsida,
49441,Pencil Squids,Loliginidae,
49442,Reef Squids,Sepioteuthis,
61542,Anglerfishes,Lophiiformes,
61543,Dreamers,Oneirodidae,
88020,,Dolopichthys,
474812,,Uroteuthis,
700303,Luminous bay squid,Uroteuthis noctiluca,
1032446,Cownose Rays,Rhinopteridae,
56770,Cownose Rays,Rhinoptera,
56769,Golden Cownose Ray,Rhinoptera steindachneri,
195408,,Diphyidae,
195407,,Abylidae,
195403,,Abylopsis,
118996,Ciliates,Ciliophora,
152065,,Litostomatea,
320124,,Mesodiniidae,
320125,,Mesodinium,
320120,,Mesodinium rubrum,
47796,Actiniid Sea Anemones,Actiniidae,
49052,,Anthopleura,
68789,Kelps,Laminariales,
324774,,Cyclosalpa,
324773,,Cyclosalpa affinis,
742930,Bay Nettle,Chrysaora chesapeakei,
49068,Symmetrical Sessile Barnacles,Balanomorpha,
128745,Chthamalid Barnacles,Chthamalidae,
128743,,Chthamalus,
47679,True Limpets,Patellogastropoda,
67425,,Laminariaceae,
124749,,Macrocystis,
254083,Elongated Violet Snail,Janthina umbilicata,
85777,Flyingfishes,Exocoetidae,
56939,,Katsuwonus,
56943,Skipjack Tuna,Katsuwonus pelamis,
551398,,Lottioidea,
85525,,Littorinimorpha,
48918,Periwinkle Snails,Littorinidae,
48919,Periwinkles,Littorina,
519379,,Lepas testudinata,
1303725,,Gobiiformes,
47308,Gobies,Gobiidae,
92363,,Taenioides,
47584,Bivalves,Bivalvia,
372769,Pteriomorph Bivalves,Pteriomorphia,
792744,dinoflagellates and allies,Miozoa,
49967,Carpet Sharks,Orectolobiformes,
52189,Whale Sharks,Rhincodontidae,
48841,,Rhincodon,
52188,Whale Shark,Rhincodon typus,
623966,Oceanic Manta Ray,Mobula birostris,
459659,Drifter Crab,Planes marinus,
126128,,Stephanocystis,
446144,Cheeseman's Puffer,Lagocephalus cheesemanii,
551480,Discomedusans,Discomedusae,
51552,Amberjacks,Seriola,
51550,Yellowtail Kingfish,Seriola lalandi,
520285,Lion's Mane Jellyfish,Cyanea annaskala,
742933,Australian Sea Nettle,Chrysaora pentastoma,
344571,,Phlyctenactis,
344569,Wandering Sea Anemone,Phlyctenactis tuberculosa,
248825,,Nematoscelis,
296032,,Nematoscelis megalops,
47601,Albuneid Mole Crabs,Albuneidae,
248563,,Albunea,
49796,Mantis Shrimps,Stomatopoda,
55807,Squillid Mantis Shrimps,Squillidae,
55808,,Squilla,
55805,West Atlantic Mantis Shrimp,Squilla empusa,
246395,,Ommastrephes,
1104201,,Ommastrephes brevimanus,
49743,,Hexabranchidae,
49745,,Hexabranchus,
244849,Spanish Dancer,Hexabranchus sanguineus,
329099,Small Goose Barnacle,Lepas pectinata,
490913,,Cyclosalpa bakeri,
128782,,Prayidae,
645865,,Rosacea,
127352,Squids and Cuttlefishes,Decapodiformes,
501587,,Aurelia coerulea,
47126,plants,Plantae,
57774,red algae,Rhodophyta,
57775,Florideophycean algae,Florideophyceae,
67673,,Gigartinales,
117798,,Endocladiaceae,
117799,,Endocladia,
117781,Scouring-pad alga,Endocladia muricata,
849029,,Thoridae,
63680,,Heptacarpus,
41476,Grey Whales,Eschrichtiidae,
41477,,Eschrichtius,
41478,Grey Whale,Eschrichtius robustus,
41504,White-sided Dolphins,Lagenorhynchus,
41510,Pacific White-sided Dolphin,Lagenorhynchus obliquidens,
4020,Shearwaters and Petrels,Procellariidae,
4092,Small Shearwaters,Puffinus,
4105,Black-vented Shearwater,Puffinus opisthomelas,
201542,Southern Reef Squid,Sepioteuthis australis,
245625,Rhizostomatid Jellies,Rhizostomatidae,
349375,Sand Jellies,Rhopilema,
349374,Mushroom Jelly,Rhopilema verrilli,
47549,Echinoderms,Echinodermata,
48836,Brittle Stars,Ophiuroidea,
774990,,Ophiacanthida,
814194,,Ophiopteridae,
56689,,Ophiopteris,
56688,Flat-spined Brittle Star,Ophiopteris papillosa,
47233,Perch-like Fishes,Perciformes,
86126,Stargazers,Uranoscopidae,
91177,,Pleuroscopus,
531107,Scaled Stargazer,Pleuroscopus pseudodorsalis,
85928,Driftfishes,Nomeidae,
90331,Bluebottle Fishes,Nomeus,
194905,Bluebottle-fish,Nomeus gronovii,
48289,,Neogastropoda,
1288822,,Busyconidae,
499860,Lightning Whelks,Sinistrofulgur,
499861,Texas Lightning Whelk,Sinistrofulgur pulleyi,
256091,South American Sea Nettle,Chrysaora plocamia,
195363,Salps,Salpa,
800860,,Salpa thompsoni,
775805,Sea Butterflies,Pteropoda,
801614,,Creseidae,
246478,Needle Pteropods,Creseis,
255485,,Creseis acicula,
51509,,Nuda,
51510,,Beroida,
51511,,Beroidae,
51507,Cigar Comb Jellies,Beroe,
210415,,Beroe forskalii,
85506,Silversides,Atheriniformes,
85611,Old World Silversides,Atherinidae,
86714,,Atherina,
636264,,Neis,
636263,,Neis cordigera,
122202,Purse Crabs,Leucosiidae,
548200,,Coleusia,
1132661,,Coleusia magna,
152821,,Limnomedusae,
142106,,Geryoniidae,
794239,Nymph Jellyfishes,Liriope,
256083,,Liriope tetraphylla,
48751,,Lottiidae,
48752,Lottia Limpets,Lottia,
973097,,Lottia conus,
48824,Sponges,Porifera,
211047,Southern Finger Limpet,Lottia austrodigitalis,
47811,Sea Squirts,Ascidiacea,
245308,Argonauts,Argonautidae,
246398,Argonauts,Argonauta,
798081,Knobbed Argonaut,Argonauta nodosus,
85547,Dragonfishes and Allies,Stomiiformes,
86081,Marine Hatchetfishes,Sternoptychidae,
86625,Silver Hatchetfishes,Argyropelecus,
1303737,Blennies,Blenniiformes,
49390,Combtooth Blennies,Blenniidae,
89038,,Hypsoblennius,
103211,Notchbrow Blenny,Hypsoblennius gilberti,
144117,Barnacles and Allies,Thecostraca,
48147,Isopods,Isopoda,
49532,Typical Seapills,Sphaeromatidae,
869842,,Senticaudata,
48581,Common Valvetails,Idoteidae,
775804,Seahares and Akera Snails,Aplysiida,
775828,Seahares,Aplysioidea,
117827,coralline algae,Corallinales,
117828,coralline algae,Corallinaceae,
131377,Red Coralline Algae,Jania,
775846,,Lepetellida,
48646,Keyhole Limpets,Fissurellidae,
48647,,Megathura,
48645,Giant Keyhole Limpet,Megathura crenulata,
51022,,Dictyotales,
51023,,Dictyotaceae,
51021,Y-branched Algae,Dictyota,
47402,Chromodorids,Chromodorididae,
428448,,Felimare,
469723,California Blue Dorid,Felimare californiensis,
117795,,Ectocarpales,
117833,,Scytosiphonaceae,
129742,Puff-ball Algae,Colpomenia,
328391,Oyster thief,Colpomenia sinuosa,
132758,,Zonaria,
474134,,Zonaria farlowii,
48656,Seahares,Aplysiidae,
48657,,Aplysia,
49857,Black Seahare,Aplysia vaccaria,
57736,Demosponges,Demospongiae,
775017,,Verongiida,
128108,,Aplysinidae,
131733,,Aiolochroia,
256011,,Aiolochroia thiona,
131330,,Rhodymeniales,
131331,,Rhodymeniaceae,
180607,,Botryocladia,
327042,Sea Grapes,Botryocladia pseudodichotoma,
47828,Rock Crabs,Cancridae,
520286,,Cyanea rosea,
130868,Tunicates,Tunicata,
116719,,Metacarcinus,
204580,Yellow Rock Crab,Metacarcinus anthonyi,
447514,Heterotrematan Crabs,Heterotremata,
51176,Round Crabs,Xanthidae,
195152,,Cycloxanthops,
469740,Nine-tooth Pebble Crab,Cycloxanthops novemdentatus,
245597,Volutes,Volutidae,
369087,,Melo,
369086,Melon Shell,Melo amphora,
191599,Sea Walnut,Pleurobrachia pileus,
120969,Crowned Jellies,Cepheidae,
324853,,Cotylorhiza,
324852,Fried Egg Jelly,Cotylorhiza tuberculata,
155646,,Hormathiidae,
195593,,Calliactis,
195581,Hermit Crab Anemone,Calliactis polypus,
47295,Snappers,Lutjanidae,
47296,Common Snappers,Lutjanus,
47314,True Eels,Anguilliformes,
47313,Morays,Muraenidae,
47312,,Muraena,
85114,Argus Moray,Muraena argus,
47315,Common Morays,Gymnothorax,
101898,Spottail Moray,Gymnothorax equatorialis,
211194,vascular plants,Tracheophyta,
47124,dicots,Magnoliopsida,
153070,,Ceratophyllales,
60998,coontails,Ceratophyllaceae,
60999,Hornworts,Ceratophyllum,
60997,coontail,Ceratophyllum demersum,
245649,,Phylliroidae,
246884,,Phylliroe,
255192,,Phylliroe bucephala,
195353,,Oxycephalidae,
248644,,Oxycephalus,
260883,,Oxycephalus clausi,
49612,Triggerfishes,Balistidae,
49613,,Balistes,
49606,Grey Triggerfish,Balistes capriscus,
26039,Crocodilians,Crocodylia,
26041,Crocodiles,Crocodylidae,
26042,Typical Crocodiles,Crocodylus,
26085,American Crocodile,Crocodylus acutus,
152824,,Chirodropida,
245338,,Chiropsalmidae,
247211,,Chiropsalmus,
256086,Four-handed Box Jelly,Chiropsalmus quadrumanus,
39532,Turtles and Tortoises,Testudines,
39657,Typical Sea Turtles,Cheloniidae,
39671,,Eretmochelys,
39672,Hawksbill Sea Turtle,Eretmochelys imbricata,
39669,Ridley Sea Turtles,Lepidochelys,
39670,Olive Ridley Sea Turtle,Lepidochelys olivacea,
133223,,Thetys,
133222,Twin-sailed Salp,Thetys vagina,
247199,,Oceania,
293263,,Oceania armata,
81622,,Myida,
117462,Piddocks and Angelwings,Pholadidae,
117471,,Barnea,
368523,Broad Angel's Wing,Barnea dilatata,
49937,Fish Isopods,Cymothoidae,
129566,,Anilocra,
50567,,Bursatella,
50559,Ragged Seahare,Bursatella leachii,
85709,Congers and Garden Eels,Congridae,
88547,,Gnathophis,
50863,green algae,Chlorophyta,
51429,Sea Lettuces and Single-celled Algae,Ulvophyceae,
