id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
20407233,2019-02-16T00:12:00Z,125707,tangatawhenua,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31512098/medium.jpeg,Washed up,-34.7383882407,173.1168744977,,,False,Janthina exigua,Dwarf Violet Snail,254081,species,1|47115|47114|122558|121656|254081
20513089,2019-02-19T21:59:00Z,58739,mike68lusk,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31662160/medium.jpg,,-39.6910217502,177.0509321652,,,False,Lepas testudinata,,519379,species,1|47120|1091452|1066703|48779|48780|519379
20547310,2019-02-22T02:58:07Z,169758,indeynz,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31720158/medium.jpg,Many washed up at mid/low tide. Ranging in size from 5 to about 15mm,-34.720545,173.0834611667,,,False,Glaucilla bennettae,,861465,species,1|47115|47114|47113|48756|861464|861465
20547375,2019-02-22T03:01:58Z,169758,indeynz,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31720228/medium.jpg,"Many washed up at mid tide among the Glaucus. This one about 10mm diameter, many smaller ones too. ",-34.7205583333,173.0833278333,,,False,Porpita porpita,Blue Button,59683,species,1|47534|48921|48922|59692|59679|59683
20547426,2019-02-22T03:04:21Z,169758,indeynz,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31720332/medium.jpg,The only one seen among the exigua. It was raining which made it harder to find them and tell them apart. This one looks to smooth to be J. exigua,-34.720445,173.0830083333,,,False,Janthina umbilicata,Elongated Violet Snail,254083,species,1|47115|47114|122558|121656|254083
20547495,2019-02-22T03:03:45Z,169758,indeynz,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31720490/medium.jpg,More if these washing up on the mid tide line. About 10-12mm,-34.7205833333,173.0831778333,,,False,Porpita porpita,Blue Button,59683,species,1|47534|48921|48922|59692|59679|59683
20560456,,1488864,janinas,needs_id,,https://static.inaturalist.org/photos/31742458/medium.jpg,I believe it's a Red Eel Goby but because of the rarity< I'd like some confirmation on the id.,-24.1697288234,151.8825691938,,open,False,Taenioides,,92363,genus,1|2|47178|1303725|47308|92363
20571934,2019-02-22T05:04:00Z,125707,tangatawhenua,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31757048/medium.jpeg,Not sure which one this is and the photos of the opening where badly blurred as taking photos in stong winds is tricky.,-34.7417513426,173.1179769209,,,False,Janthina umbilicata,Elongated Violet Snail,254083,species,1|47115|47114|122558|121656|254083
20571949,2019-02-22T05:12:00Z,125707,tangatawhenua,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/31757136/medium.jpeg,washed up,-34.7417513426,173.1179769209,,,False,Porpita porpita,Blue Button,59683,species,1|47534|48921|48922|59692|59679|59683
20667132,2019-02-13T19:43:38Z,81271,lwbadger,needs_id,,https://static.inaturalist.org/photos/31871900/medium.jpg,,26.076483,-97.1654113333,,,False,Pteriomorphia,Pteriomorph Bivalves,372769,infraclass,1|47115|47584|372769
20667483,2019-02-12T03:20:47Z,81271,lwbadger,needs_id,,https://static.inaturalist.org/photos/31872318/medium.jpg,Bioluminescent,26.1259471667,-97.167175,,,False,Miozoa,dinoflagellates and allies,792744,phylum,48222|792744
20769443,,1491087,biolojess,research,,https://static.inaturalist.org/photos/32028635/medium.jpg,,38.5246852839,-28.6261238158,,,False,Pelagia noctiluca,Mauve Stinger,256089,species,1|47534|48332|48331|48482|247213|256089
20844264,2017-04-08T22:02:00Z,1487056,noahgaines,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/32154474/medium.jpg,,-42.5158318218,173.7456401121,,obscured,True,Balaenoptera musculus,Blue Whale,41553,species,1|2|40151|152870|41546|41547|41553
20977149,2010-07-19T11:08:49Z,1501330,jmmafx,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/32393188/medium.jpg,,39.0894698596,-28.0050875216,,,False,Pelagia noctiluca,Mauve Stinger,256089,species,1|47534|48332|48331|48482|247213|256089
21066367,2019-03-03T22:37:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/32548406/medium.jpeg,"One of at least 7 Mola sp. seen over the course of the day.

Pole camera images courtesy of Scott Tindale, Tindale Marine Research Charitable Trust.",-34.9114033333,173.9801916667,,,False,Mola alexandrini,Bump-head Mola,604230,species,1|2|47178|47177|49607|49604|604230
21067271,2019-03-04T23:34:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33802179/medium.png,"143 m depth, female Mobula japanica pursued by two males

Underwater images courtesy of Mark Erdmann.

Joint Conservation International, Tindale Marine Research Charitable Trust and DOC oceanic manta satellite tagging expedition.",-34.8951752955,173.7675496576,,obscured,True,Mobula mobular,Spinetail Devil Ray,105923,species,1|2|47273|196615|715805|49697|105923
21067931,2019-03-05T22:32:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/32551136/medium.jpeg,"Very large Mola sp. encountered resting on its side just below the surface. Pole camera footage showed this to have a blunt head and a prominent ridge above and below the eye - possibly M. alexandrini. 

Pole camera images courtesy of Scott Tindale, Tindale Marine Research Charitable Trust. ",-34.8992016667,173.95121,,,False,Mola alexandrini,Bump-head Mola,604230,species,1|2|47178|47177|49607|49604|604230
21141209,2019-03-10T21:33:16Z,485705,pamelaviolet,needs_id,,https://static.inaturalist.org/photos/32679772/medium.jpg,,-34.0634678258,151.1564931723,,,False,Pelagia,Purple-striped Jellies,247213,genus,1|47534|48332|48331|48482|247213
21401166,2019-03-19T22:47:08Z,1540037,kezzelsify,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33106962/medium.jpg,,-37.8559358299,176.9668204053,,,False,Porpita porpita,Blue Button,59683,species,1|47534|48921|48922|59692|59679|59683
21431561,,56848,clinton,research,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/33157139/medium.jpg,"Depth 100 m, SST 22.5 Celcius, estimated length 6-7 m

Images provided courtesy of Mitchell Handcock.  Video at: https://www.facebook.com/groups/nzbiggamefishing/permalink/2573213699386930/ ",-36.8208995342,176.020646048,,obscured,True,Rhincodon typus,Whale Shark,52188,species,1|2|47273|49967|52189|48841|52188
21449824,,1502592,cristina_cedeno_posso,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/79674744/medium.jpg,,11.1608201907,-74.2318965541,,,False,Porpita porpita,Blue Button,59683,species,1|47534|48921|48922|59692|59679|59683
21475197,,958540,mnyegaard,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33229481/medium.jpg,"Observed and photographed by Peter Langlands, uploaded with permission.",-40.7990277016,174.9434379972,,open,False,Mola mola,Common Mola,49601,species,1|2|47178|47177|49607|49604|49601
21541488,2019-03-17T02:43:00Z,135768,beaumasters,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33338306/medium.jpeg,Found along the drift line.,-36.8261757757,174.4243285,,,False,Janthina janthina,Violet Sea Snail,121654,species,1|47115|47114|122558|121656|121654
21548680,2019-01-14T04:00:00Z,958540,mnyegaard,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33350845/medium.png,"Observation and footage (stills provided here) by Dive Zone Whitianga Instructor Ryan Hansen, posted here with permission.",-36.7640824174,175.4464573829,,,False,Mola alexandrini,Bump-head Mola,604230,species,1|2|47178|47177|49607|49604|604230
21592877,2019-03-04T14:46:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33424127/medium.png,"associated with female Mobula japanica

Joint Conservation International, Tindale Marine Research Charitable Trust and DOC oceanic manta satellite tagging expedition.


image courtesy of Mark Erdmann, Conservation International",-34.8268,173.781,,open,False,Naucrates ductor,Pilotfish,118710,species,1|2|47178|1303727|47232|90150|118710
21592946,2019-03-04T14:46:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33424418/medium.png,"This pregnant female was being pursued by mature male, SST 23.4 Celsius.

Joint Conservation International, Tindale Marine Research Charitable Trust and DOC oceanic manta satellite tagging expedition.

images courtesy of Mark Erdmann, Conservation International
 ",-34.9497450175,173.6016573956,,obscured,True,Mobula mobular,Spinetail Devil Ray,105923,species,1|2|47273|196615|715805|49697|105923
21592994,2019-03-05T15:43:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33424496/medium.png,"3.6 m DW female, 74 m depth, SST 22.6 Celsius 

Joint Conservation International, Tindale Marine Research Charitable Trust and DOC oceanic manta satellite tagging expedition.

underwater images courtesy of Irene Middleton",-34.836159786,173.7118860042,,obscured,True,Mobula birostris,Oceanic Manta Ray,623966,species,1|2|47273|196615|715805|49697|623966
21593168,2019-03-04T11:29:00Z,56848,clinton,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/33424767/medium.png,"3 m DW female, 95 m, SST 23 Celsius

Joint Conservation International, Tindale Marine Research Charitable Trust and DOC oceanic manta satellite tagging expedition. 

images courtesy of Irene Middleton",-34.8248904813,173.6818001244,,obscured,True,Mobula birostris,Oceanic Manta Ray,623966,species,1|2|47273|196615|715805|49697|623966
