subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
229240,59096,Muhlenbergia,muhly,eats
229240,51826,Sporobolus,"dropseeds, cordgrasses, and sandreeds",eats
229240,71257,Bouteloua gracilis,Blue Grama,eats
229240,,Buchloe dactyloides,,eats
229240,,Eragrostis intermedia,,eats
229240,79008,Scleropogon brevifolius,burrograss,eats
229240,,Bouteloua hirsuta,,eats
229240,,,,eats
229240,,Digitaria cognata,,eats
229240,,Chondrosum hirsutum,,eats
229240,,Bouteloua aristidoides,,eats
