subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
129505,50931,Strymon melinus,Gray Hairstreak,eatenBy
129505,,Thorybes pylades,,eatenBy
129505,,Achalarus lyciades,,eatenBy
129505,250753,Tachytes,Sand-Loving Wasps,pollinatedBy
129505,52781,Melissodes,,pollinatedBy
129505,47822,Diptera,Flies,pollinatedBy
129505,120114,Anthrenus,Carpet Beetles,pollinatedBy
129505,,Araba,,pollinatedBy
129505,,Euphorus,,pollinatedBy
129505,,Oxybelus inornatus,,pollinatedBy
129505,,Anthrenus castaneae,,pollinatedBy
129505,,Chelynia,,pollinatedBy
129505,,Epicauta,,pollinatedBy
129505,,Holcopasites heliopsis,,pollinatedBy
129505,,Glypta,,pollinatedBy
129505,,Nomada denticulata,,pollinatedBy
129505,,Coelioxys octodentata,,pollinatedBy
129505,,Hyalurgus,,pollinatedBy
129505,,Apallates coxendix,,pollinatedBy
129505,,Cheilosia capillata,,pollinatedBy
129505,501920,Figites,,pollinatedBy
129505,,Eupsyche,,pollinatedBy
129505,,Anoplius illinoensis,,pollinatedBy
129505,,Hippelates plebejus,,pollinatedBy
129505,,Curtisapis,,pollinatedBy
129505,,Melanagromyza aeneoventris,,pollinatedBy
129505,132236,Ochthera,,pollinatedBy
129505,,Ocyptera,,pollinatedBy
129505,199066,Sphecodes heraclei,Cyclops Blood Bee,pollinatedBy
129505,,http://treatment.plazi.org/id/C72A42F42D1D9E7809CB45EE0F3C055E,,pollinatedBy
129505,,Scolia nobilitata,,pollinatedBy
129505,,Anoplius virginiensis,,pollinatedBy
129505,,Alydus pilosulus,,pollinatedBy
129505,,Trineura,,pollinatedBy
129505,,Diabrotica longicornis,,pollinatedBy
129505,264615,Bracon mellitor,,pollinatedBy
129505,,Anthomyia pluvialis,,pollinatedBy
129505,,http://treatment.plazi.org/id/C4980AEB0983855F5668B5045CA0789C,,pollinatedBy
129505,646104,Therioplectes,,pollinatedBy
129505,,Odontalictus,,pollinatedBy
129505,,Gnadochaeta metallica,,pollinatedBy
129505,,Onthophagus pennsylvanicus,,pollinatedBy
129505,,Ocyptamus costatus,,pollinatedBy
129505,,http://treatment.plazi.org/id/F081C65F8D695BC0A3F6562FBABF67EB,,pollinatedBy
