subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
54857,,Celtis occident,,eats
54857,56832,Nymphalis antiopa,Mourning Cloak,eatenBy
54857,54064,Polygonia comma,Eastern Comma,eatenBy
54857,18463,Sphyrapicus varius,Yellow-bellied Sapsucker,eatenBy
54857,12727,Turdus migratorius,American Robin,eatenBy
54857,12942,Sialia sialis,Eastern Bluebird,eatenBy
54857,14850,Sturnus vulgaris,European Starling,eatenBy
54857,12901,Catharus fuscescens,Veery,eatenBy
54857,12890,Catharus guttatus,Hermit Thrush,eatenBy
54857,,Charaxes,,eatenBy
54857,,Asterocampa clyton,,eatenBy
54857,1153049,Beara dichromella,,eatenBy
54857,,Orthosia alurina,,eatenBy
54857,47802,Lymantria dispar,LD Moth,eatenBy
54857,,Zeuzera pyrina,,eatenBy
54857,,Paleacrita vernata,,eatenBy
54857,,Lophocampa caryae,,eatenBy
54857,127133,Hyphantria cunea,Fall Webworm Moth,eatenBy
54857,,Asterocampa celtis,,eatenBy
54857,,Libytheana carinenta,,eatenBy
54857,,Flammulina velutipes,,eatenBy
54857,,Pachypsylla venusta,,eatenBy
54857,180008,Otospermophilus variegatus,Rock Squirrel,eatenBy
54857,,Shivaphis celti,,eatenBy
54857,,Pachypsylla celtidismamma,,eatenBy
54857,120217,Halysidota tessellaris,Banded Tussock Moth,eatenBy
54857,,Polygonia interrogationis,,eatenBy
54857,18205,Melanerpes carolinus,Red-bellied Woodpecker,eatenBy
54857,12951,Myadestes townsendi,Townsend's Solitaire,eatenBy
54857,12878,Catharus ustulatus,Swainson's Thrush,eatenBy
