subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
56091,144815,Poecile atricapillus,Black-capped Chickadee,eatenBy
56091,7428,Bombycilla cedrorum,Cedar Waxwing,eatenBy
56091,367947,Aleurodicus dugesii,Giant Whitefly,eatenBy
56091,14886,Mimus polyglottos,Northern Mockingbird,eatenBy
56091,14995,Dumetella carolinensis,Gray Catbird,eatenBy
56091,124184,Plodia interpunctella,Indian-Meal Moth,eatenBy
56091,60840,Spilosoma,,eatenBy
56091,12890,Catharus guttatus,Hermit Thrush,eatenBy
56091,9919,Piranga ludoviciana,Western Tanager,eatenBy
56091,9083,Cardinalis cardinalis,Northern Cardinal,eatenBy
56091,12727,Turdus migratorius,American Robin,eatenBy
56091,12942,Sialia sialis,Eastern Bluebird,eatenBy
56091,18204,Melanerpes erythrocephalus,Red-headed Woodpecker,eatenBy
56091,16782,Tyrannus tyrannus,Eastern Kingbird,eatenBy
56091,13270,Hylocichla mustelina,Wood Thrush,eatenBy
56091,566987,Plautia affinis,,eatenBy
56091,145554,Leptocorisa acuta,,eatenBy
56091,,Aonidiella aurantii,,eatenBy
56091,12737,Turdus leucomelas,Pale-breasted Thrush,eatenBy
56091,326309,Aetalion reticulatum,,eatenBy
56091,15302,Sylvia borin,Garden Warbler,eatenBy
56091,12716,Turdus merula,Eurasian Blackbird,eatenBy
56091,40908,Pteropus scapulatus,Little Red Flying Fox,eatenBy
56091,,Tangara seledon,,eatenBy
56091,9462,Pyrrhula pyrrhula,Eurasian Bullfinch,eatenBy
56091,126308,Marpesia chiron,Many-banded Daggerwing,eatenBy
56091,126132,Cyrestis camillus,African Map Butterfly,eatenBy
56091,358869,Calinaga buddha,Orange-breasted Freak Butterfly,eatenBy
56091,41796,Martes martes,Eurasian Pine Marten,eatenBy
56091,,Picoides scalaris,,eatenBy
56091,321981,Pandemis heparana,Dark Fruit-tree Tortrix,eatenBy
56091,244294,Isotenes miserana,Orange Fruit Borer,eatenBy
56091,,Archips subsidiaria,,eatenBy
56091,,Archips mimicus,,eatenBy
56091,1336333,Archips breviplicanus,,eatenBy
56091,,Paradoxecia pieli,,eatenBy
56091,,Leptoclanis pulchra,,eatenBy
56091,684741,Polyptychus coryndoni,,eatenBy
56091,482151,Pseudoclanis postica,Mulberry Hawkmoth,eatenBy
56091,894927,Conogethes punctiferalis,,eatenBy
56091,154624,Glyphodes pyloalis,Lesser Mulberry Snout,eatenBy
56091,324816,Glyphodes sibillalis,Mulberry Leaftier,eatenBy
56091,51586,Euthalia aconthea,Common Baron,eatenBy
56091,,Cyrestis periander,,eatenBy
56091,,Chrysodeixis chalcites,,eatenBy
56091,,Olene mendosa,,eatenBy
56091,1292389,Parasa lepida,,eatenBy
56091,889436,Phthonandria atrilineata,,eatenBy
56091,446995,Alpenus investigatorum,Investigated Ermine,eatenBy
56091,,Eyralpenus sublutea,,eatenBy
56091,,Rondotia menciana,,eatenBy
56091,357326,Lemyra imparilis,,eatenBy
56091,500675,Darna,,eatenBy
56091,,Asura conferta,,eatenBy
56091,1298599,Spilosoma sulphurea,,eatenBy
56091,382410,Fusarium urticearum,,eatenBy
56091,1024586,Diplodia mori,,eatenBy
56091,564653,Cercospora moricola,Mulberry Leaf Spot,eatenBy
56091,40905,Pteropus poliocephalus,Grey-headed Flying-fox,eatenBy
56091,75042,Rousettus aegyptiacus,Egyptian Rousette,eatenBy
56091,9227,Serinus,Eurasian Serins and Canaries,eatenBy
56091,13094,Erithacus rubecula,European Robin,eatenBy
56091,127133,Hyphantria cunea,Fall Webworm Moth,eatenBy
56091,,Euproctis similis,,eatenBy
56091,342617,Bombyx mandarina,Wild Silkmoth,eatenBy
56091,143506,Bombyx mori,Domesticated Silkmoth,eatenBy
56091,154388,Mimas tiliae,Lime Hawkmoth,eatenBy
56091,125304,Spilarctia obliqua,Jute hairy caterpillar (Bihar hairy caterpillar),eatenBy
56091,125258,Creatonotos transiens,Clouded Tiger Moth,eatenBy
56091,785422,Amsacta lactinea,,eatenBy
56091,,Dasychira mendosa,,eatenBy
56091,,Dichocrocis punctiferalis,,eatenBy
56091,472754,Archips fuscocupreanus,,eatenBy
56091,243770,Ascotis selenaria,Citrus-looper,eatenBy
56091,330227,Lepidosaphes beckii,Citrus Mussel Scale,eatenBy
56091,60930,Diaspidiotus perniciosus,Pernicious Scale,eatenBy
56091,716067,Pseudaulacaspis pentagona,,eatenBy
56091,,Baris deplanata,,eatenBy
56091,270318,Phyllophaga ephilida,,eatenBy
56091,43486,Cercopithecus mitis,Blue Monkey,eatenBy
56091,43577,Pan troglodytes,Chimpanzee,eatenBy
56091,3460,Zenaida asiatica,White-winged Dove,eatenBy
56091,18205,Melanerpes carolinus,Red-bellied Woodpecker,eatenBy
56091,12878,Catharus ustulatus,Swainson's Thrush,eatenBy
