subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
48382,118970,Bombus impatiens,Common Eastern Bumble Bee,eatenBy
48382,893823,Dielis plumipes,Feather-legged Scoliid Wasp,eatenBy
48382,47219,Apis mellifera,Western Honey Bee,eatenBy
48382,7043,Aythya,"Scaups, Pochards, and Allies",eatenBy
48382,7294,Eremophila alpestris,Horned Lark,eatenBy
48382,10139,Ammodramus savannarum,Grasshopper Sparrow,eatenBy
48382,,Ametastegia (Ametastegia) glabrata,,eatenBy
48382,,Ametastegia equiseti,,eatenBy
48382,320812,Gastrophysa viridula,Green Dock Beetle,eatenBy
48382,56887,Bombus pensylvanicus,American Bumble Bee,eatenBy
48382,,Eupeodes volucris,,eatenBy
48382,,Monobia quadridens,,eatenBy
48382,542,Coturnicops noveboracensis,Yellow Rail,eatenBy
48382,,Stictonetta naevosa,,eatenBy
48382,7176,Chenonetta jubata,Australian Wood Duck,eatenBy
48382,1264,Centrocercus urophasianus,Greater Sage-Grouse,eatenBy
48382,1280,Colinus virginianus,Northern Bobwhite,eatenBy
48382,117059,Plectrophenax nivalis,Snow Bunting,eatenBy
48382,7174,Malacorhynchus membranaceus,Pink-eared Duck,eatenBy
48382,7074,Oxyura australis,Blue-billed Duck,eatenBy
48382,6896,Dendrocygna arcuata,Wandering Whistling-Duck,eatenBy
48382,6987,Anas superciliosa,Pacific Black Duck,eatenBy
48382,7128,Nettapus coromandelianus,Cotton Pygmy-Goose,eatenBy
48382,6895,Dendrocygna eytoni,Plumed Whistling-Duck,eatenBy
