subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
62652,50931,Strymon melinus,Gray Hairstreak,eatenBy
62652,48548,Vanessa cardui,Painted Lady,eatenBy
62652,70000,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,eatenBy
62652,479803,Dioprosopa clavata,Four-speckled Hover Fly,eatenBy
62652,57689,Bombus vosnesenskii,Yellow-faced Bumble Bee,eatenBy
62652,1021509,Junonia grisea,Gray Buckeye,eatenBy
62652,47219,Apis mellifera,Western Honey Bee,eatenBy
62652,,Chrysodeixis chalcites,,eatenBy
62652,,Liriomyza menthavora,,eatenBy
62652,,Phytomyza petoei,,eatenBy
62652,,Phytomyza tetrasticha,,eatenBy
62652,,Bombus pascuorum,,eatenBy
62652,,Burnsius communis,,eatenBy
62652,,Dolichovespula arenaria,,eatenBy
62652,,Puccinia menthae,,eatenBy
62652,,Chrysolina coerulans,,eatenBy
62652,59168,Speyeria coronis,Coronis Fritillary,eatenBy
62652,,Chrysolina herbacea,,eatenBy
62652,119068,Apodemia virgulti,Behr's Metalmark,pollinatedBy
