subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
77676,59119,Pontia protodice,Checkered White,eatenBy
77676,55626,Pieris rapae,Cabbage White,eatenBy
77676,145414,Aphis craccivora,Cowpea Aphid,eatenBy
77676,,Thyridopteryx ephemeraeformis,,eatenBy
77676,,Pontia beckerii,,eatenBy
77676,,Pieris canidia,,eatenBy
77676,,Pieris napi,,eatenBy
77676,,Euchloe hyantis,,eatenBy
77676,,Ascia monuste,,eatenBy
77676,,Pontia occidentalis,,eatenBy
77676,,Leptophobia aripa elodia,,eatenBy
77676,,Danaus plexippus plexippus,,eatenBy
77676,831,Perdix perdix,Gray Partridge,eatenBy
77676,133767,Thaumatomyia glabra,,pollinatedBy
77676,250753,Tachytes,Sand-Loving Wasps,pollinatedBy
77676,81959,Cerceris,Typical Weevil Wasps and Allies,pollinatedBy
77676,53648,Nomada,Nomad Bees,pollinatedBy
77676,,Ceratina dupla,,pollinatedBy
77676,129219,Euphoria fulgida,Emerald Euphoria,pollinatedBy
77676,,Sapyga centrata,,pollinatedBy
77676,,Themira putris,,pollinatedBy
77676,,Coelioxys sayi,,pollinatedBy
77676,320563,Anthocomus,,pollinatedBy
77676,,Carceris robertsonii,,pollinatedBy
77676,,http://treatment.plazi.org/id/F12164839E129EE305929100DCC76253,,pollinatedBy
77676,,Arge,,pollinatedBy
77676,,Phaleria,,pollinatedBy
77676,,Frontina,,pollinatedBy
77676,,Oxybelus inornatus,,pollinatedBy
77676,1097562,Volucella evecta,Eastern Swiftwing,pollinatedBy
77676,,Xylota bicolor,,pollinatedBy
77676,,Sphecodium,,pollinatedBy
77676,,Colletes nudus,,pollinatedBy
77676,,Holandrena,,pollinatedBy
