subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
200891,53275,Chironomidae,Non-biting Midges,eatenBy
200891,47628,Amphipoda,Amphipods,eatenBy
200891,333586,Oligochaeta,Earthworms and allies,eatenBy
200891,107889,Oreochromis mossambicus,Mozambique Tilapia,eatenBy
200891,376157,Deleatidium,Suckergilled Mayflies,eatenBy
200891,375583,Aphrophila,,eatenBy
200891,489802,Eriopterini,,eatenBy
200891,393812,Olinga feredayi,Horn-cased Caddisfly,eatenBy
200891,408115,Beraeoptera roria,,eatenBy
200891,,Aoteapsyche,,eatenBy
200891,,Austroperla cyrene,,eatenBy
200891,408499,Coloburiscus humeralis,Spinygilled Mayfly,eatenBy
200891,375354,Acroperla,,eatenBy
200891,176380,Eukiefferiella,,eatenBy
200891,120561,Cricotopus,,eatenBy
200891,377930,Pycnocentria,,eatenBy
200891,386482,Austrosimulium australense,New Zealand Black Fly,eatenBy
200891,376635,Hudsonema,,eatenBy
200891,390755,Hydora nitida,,eatenBy
200891,475252,Oxyethira albiceps,,eatenBy
200891,377190,Naonella,,eatenBy
200891,,Zealandoperla sp1 FW_014_01,,eatenBy
200891,,Oeconesus,,eatenBy
200891,,Stictocladius,,eatenBy
200891,,Hydrobiosella,,eatenBy
200891,218893,Ectopria nervosa,,eatenBy
200891,177034,Metriocnemus,,eatenBy
200891,,Crangonyx gracilis,,eatenBy
200891,177502,Leptophlebia,,eatenBy
200891,168927,Sida crystallina,,eatenBy
200891,570228,Zelandoperlinae,,eatenBy
200891,,Micrasema,,eatenBy
200891,,Pycnocentrella eruensis,,eatenBy
200891,,Ephemerella notata,,eatenBy
200891,,Glossosoma boltoni,,eatenBy
200891,,Rheotanytarsus,,eatenBy
200891,483949,Gammarus zaddachi,,eatenBy
200891,,Oligo smooth,,eatenBy
200891,,Zealandoperla/Acroperla sp.,,eatenBy
200891,,Scardinius acarnanicus,,eatenBy
200891,,Schizolecis guntheri,,eatenBy
200891,,Kronichthys subteres,,eatenBy
200891,616321,Harttia kronei,,eatenBy
200891,107885,Oreochromis leucostictus,Blue-spotted Tilapia,eatenBy
200891,,Anabas testudineus,,eatenBy
200891,,Barbonymus gonionotus,,eatenBy
200891,,Pimephales notatus,,eatenBy
200891,107271,Notropis volucellus,Mimic shiner,eatenBy
200891,51351,Notemigonus crysoleucas,Golden Shiner,eatenBy
200891,69989,Rutilus rutilus,Common Roach,eatenBy
200891,,Sarmarutilus rubilio,,eatenBy
200891,,Labeo rohita,,eatenBy
200891,,Campostoma anomalum,,eatenBy
200891,,Dawkinsia filamentosa,,eatenBy
200891,,Tilapia rendalli,,eatenBy
200891,446213,Mesopotamichthys sharpeyi,Binni,eatenBy
200891,,Rhodeus sericeus,,eatenBy
200891,,Chytridium oedogonii,,eatenBy
200891,,Rhizophydium chaetiferum,,eatenBy
200891,,Phlyctochytrium planicorne,,eatenBy
200891,,Eukiefidrella,,eatenBy
200891,144479,Gallinula galeata,Common Gallinule,eatenBy
200891,,Oligo smooth,,preyedUponBy
200891,,Lateromyxa gallica,,preyedUponBy
