subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
43698,47452,Acacia,wattles,eats
43698,52734,Cyperus,flatsedges,eats
43698,,Eleucine,,eats
43698,,Isoptera,,eats
43698,,Zizyphus,,eats
43698,,Cebus olivaceus,,eats
43698,,Austranella congolensis,,eats
43698,426819,Tetrapleura,,eats
43698,,Omphalocarpum,,eats
43698,923859,Mammea africana,,eats
43698,,Treculia africana,,eats
43698,,Uapaca,,eats
43698,,Acacia saligna,,eats
43698,467378,Klainedoxa,,eats
43698,62841,Cordia,,eats
43698,,Monodora myristica,,eats
43698,,Anonidium mannii,,eats
43698,,Ganophyllum,,eats
43698,,Mimusops bagshawei,,eats
43698,,hoppers - ants - termites - beetles,,eats
43698,,Crotalaria,,eats
43698,,Quercus variabilis,,eats
43698,359972,Quercus serrata,konara oak,eats
43698,,Lithocarpus harlandii,,eats
43698,,Castanopsis fargesii,,eats
43698,,Quercus glauca,,eats
43698,20044,Bubo virginianus,Great Horned Owl,eatenBy
43698,5227,Buteo platypterus,Broad-winged Hawk,eatenBy
43698,20445,Tyto alba,Barn Owl,eatenBy
43698,8010,Corvus corax,Common Raven,eatenBy
43698,4756,Cathartes aura,Turkey Vulture,eatenBy
43698,5277,Elanus leucurus,White-tailed Kite,eatenBy
43698,5212,Buteo jamaicensis,Red-tailed Hawk,eatenBy
43698,19893,Strix varia,Barred Owl,eatenBy
43698,5206,Buteo lineatus,Red-shouldered Hawk,eatenBy
43698,5305,Haliaeetus leucocephalus,Bald Eagle,eatenBy
43698,85553,Serpentes,Snakes,eatenBy
43698,42069,Vulpes vulpes,Red Fox,eatenBy
43698,42051,Canis latrans,Coyote,eatenBy
43698,41976,Lynx rufus,Bobcat,eatenBy
43698,42007,Puma concolor,Mountain Lion,eatenBy
43698,42076,Urocyon cinereoargenteus,Gray Fox,eatenBy
43698,4665,Falco sparverius,American Kestrel,eatenBy
43698,5112,Accipiter cooperii,Cooper's Hawk,eatenBy
43698,4956,Ardea herodias,Great Blue Heron,eatenBy
43698,30713,Crotalus oreganus helleri,Southern Pacific Rattlesnake,eatenBy
43698,558446,Circus hudsonius,Northern Harrier,eatenBy
43698,1264431,Neogale frenata,Long-tailed Weasel,eatenBy
43698,144455,Ardea alba,Great Egret,eatenBy
43698,29044,Pituophis catenifer,Gopher Snake,eatenBy
43698,146199,Lampropeltis californiae,California King Snake,eatenBy
43698,41638,Ursus americanus,American Black Bear,eatenBy
43698,4940,Egretta thula,Snowy Egret,eatenBy
43698,5017,Bubulcus ibis,Cattle Egret,eatenBy
43698,,Streptopelia chinensis,,eatenBy
43698,,Aquila chrysaetos,,eatenBy
43698,19812,Glaucidium gnoma,Northern Pygmy-Owl,eatenBy
43698,20307,Asio otus,Long-eared Owl,eatenBy
43698,20315,Asio flammeus,Short-eared Owl,eatenBy
43698,,Alectoris chukar,,eatenBy
43698,19765,Megascops asio,Eastern Screech-Owl,eatenBy
43698,558512,Lanius borealis,Northern Shrike,eatenBy
43698,5196,Buteo swainsoni,Swainson's Hawk,eatenBy
43698,5108,Accipiter gentilis,Northern Goshawk,eatenBy
43698,5181,Buteo regalis,Ferruginous Hawk,eatenBy
43698,19975,Athene cunicularia,Burrowing Owl,eatenBy
43698,,Rocky Mountain Raptor Program 16-087,,eatenBy
43698,,Denver Zoology Tissue Bird 537,,eatenBy
43698,,Denver Zoology Tissue Bird 1469,,eatenBy
43698,,Felis silvestris lybica,,eatenBy
43698,43042,Erinaceus europaeus,Common Hedgehog,eatenBy
43698,42048,Canis lupus,Gray Wolf,eatenBy
43698,,Canis lupus familiaris,,eatenBy
43698,,Accipiter badius,,eatenBy
43698,,http://arctos.database.museum/guid/DMNS:Bird:44496,,eatenBy
43698,891696,Pica pica,Eurasian Magpie,eatenBy
43698,,snakes - varanids,,eatenBy
43698,,wolf Canis lupus,,eatenBy
43698,,stray dog Canis familiaris,,eatenBy
43698,,desert cat Felis libyca,,eatenBy
43698,,fox Vulpes vulpes,,eatenBy
43698,,Hucho perryi,,eatenBy
43698,41955,Acinonyx jubatus,Cheetah,eatenBy
43698,851014,Canis aureus,Golden Jackal,eatenBy
43698,,Canis mesomelas,,eatenBy
43698,,Puma yagouaroundi,,eatenBy
43698,41599,Genetta maculata,Rusty-spotted Genet,eatenBy
43698,42042,Caracal caracal,Caracal,eatenBy
43698,40166,Dasyurus maculatus,Spotted-tailed Quoll,eatenBy
43698,,Herpestes javanicus,,eatenBy
43698,,Canis lupus rufus,,eatenBy
43698,42101,Cuon alpinus,Dhole,eatenBy
