subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
47693,1409,Callipepla californica,California Quail,eatenBy
47693,,Burnsius communis,,eatenBy
47693,,Chamaepetes goudotii,,eatenBy
47693,1264,Centrocercus urophasianus,Greater Sage-Grouse,eatenBy
47693,542,Coturnicops noveboracensis,Yellow Rail,eatenBy
47693,16771,Tyrannus caudifasciatus,Loggerhead Kingbird,eatenBy
47693,3545,Columbina passerina,Common Ground Dove,eatenBy
47693,16798,Tyrannus dominicensis,Gray Kingbird,eatenBy
47693,2121,Todus mexicanus,Puerto Rican Tody,eatenBy
