subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
72308,59152,Leptotes marina,Marine Blue,eatenBy
72308,51538,Leptotes,Common Blues,eatenBy
72308,47219,Apis mellifera,Western Honey Bee,eatenBy
72308,51097,Papilio zelicaon,Anise Swallowtail,eatenBy
72308,6317,Calypte anna,Anna's Hummingbird,eatenBy
72308,1081332,Lon melane,Umber Skipper,eatenBy
72308,,Leptotes plinius,,eatenBy
72308,,Leptotes cassius,,eatenBy
72308,,Leptotes pirithous,,eatenBy
72308,,Heterolocha phaenicotaeniata,,eatenBy
72308,,Afrophyla vethi,,eatenBy
72308,,Scopula minorata,,eatenBy
72308,,Scopula pulchellata,,eatenBy
72308,428944,Philotherma rosa,,eatenBy
72308,,Prenolepis imparis,,eatenBy
