subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
47407,47219,Apis mellifera,Western Honey Bee,eatenBy
47407,70000,Xylocopa tabaniformis orpifex,Foothill Carpenter Bee,eatenBy
47407,,Periclepsis cinctana,,eatenBy
47407,,Cydia ulicetana,,eatenBy
47407,,Uresiphita polygonalis,,eatenBy
47407,,Salebria genistella,,eatenBy
47407,,Uresiphita ornithopteralis,,eatenBy
47407,,Agonopterix atomella,,eatenBy
47407,,Autophila anaphanes,,eatenBy
47407,,Trifurcula orientella,,eatenBy
47407,469901,Leucoptera laburnella,Laburnum Leafminer,eatenBy
47407,,Scotopteryx mucronata,,eatenBy
47407,,Micrurapteryx kollariella,,eatenBy
47407,154057,Cingilia catenaria,Chain-dotted Geometer,eatenBy
47407,,Syncopacma cinctella,,eatenBy
47407,,Selidosema plumaria,,eatenBy
47407,354660,Spilosoma glatignyi,black-and-white tiger moth,eatenBy
47407,60896,Callophrys rubi,Green Hairstreak,eatenBy
47407,,Cigaritis allardi,,eatenBy
47407,,Plebejus argus,,eatenBy
47407,,Plebejus idas,,eatenBy
47407,,Leptotes pirithous,,eatenBy
47407,,Glaucopsyche alexis,,eatenBy
47407,,Glaucopsyche melanops,,eatenBy
47407,,Bruchidius cisti,,eatenBy
47407,,Agromyza johannae,,eatenBy
47407,,Sitona (Sitona) regensteinensis,,eatenBy
47407,,Sitona (Sitona) striatellus,,eatenBy
47407,,Polydrusus (Eurodrusus) confluens,,eatenBy
47407,,Hemiphaga novaeseelandiae,,eatenBy
47407,,Hemiphaga novaeseelandiae novaeseelandiae,,eatenBy
