subject_taxon_id,target_taxon_id,target_scientific_name,target_common_name,interaction
122971,124184,Plodia interpunctella,Indian-Meal Moth,eatenBy
122971,894927,Conogethes punctiferalis,,eatenBy
122971,,Opogona regressa,,eatenBy
122971,,Opogona sacchari,,eatenBy
122971,,Euzophera osseatella,,eatenBy
122971,,Spodoptera litura,,eatenBy
122971,,Acrocercops irradians,,eatenBy
122971,,Birthosea,,eatenBy
122971,154364,Udaspes folus,Grass Demon,eatenBy
122971,,Ancistroides nigrita,,eatenBy
122971,,Notocrypta,,eatenBy
