user_id,user_login,observation_ids,observation_count
105854,jareds3,1572579;1572580;1572582;1572583;1582743,5
3077216,ivylevitas,48192676;48192752;48192772;48192797;48192829,5
3073984,ninal,47748691;47749526;47882457;47882711;47887748,5
3074027,saral618,48021633;48021789;48022224;48027465;48138018,5
3074963,sethlapp,48130841;48131436;48132422;48132730;48134794,5
3076065,tmuhlmeister1,48068789;48068952;48069129;48070965;48071207,5
1800559,tae3,25971186;25993583;25993611;25993626;25993636,5
3075531,katyanna,48173557;48173710;48173921;48173933;48174081,5
3075537,tommysantulli3,48243903;48243999;48244143;48244364;48244497,5
3113772,tcl45,48282039;48282401;48282623;48282839;48283108,5
3080733,damian114,47672495;47672824;47673115;47673250;47673342,5
3080839,jessicas98,48134613;48137416;48137445;48137466;48138290,5
1006494,kathleen91,13120242;13120243;13120244;13120247;13120249,5
495176,skyem1,6456045;6456522;6456565;6456593;6456610,5
1006502,celestinec1,13116918;13116974;13117143;13117196;13117327,5
1006508,britneyl,13116925;13117004;13117009;13117090;13117150,5
105566,elizabethv3,1556231;1558702;1558803;1558913;1559049,5
4586286,maxkahann,83431860;83431861;83431862;83431865;83431868,5
4533021,r105,81654374;81654424;81654509;81654570;81654626,5
4531315,moosty123,81656039;81656257;81656782;81658816;81659440,5
4525567,jaymeme,81587589;81587750;81587774;81587830;81587926,5
4521855,carinamh,81371849;81371936;81372085;81372443;81373395,5
4520337,avad238,81559449;81559679;81559862;81559954;81560180,5
105583,davidc6,1556282;1556402;1556404;1556407;1572552,5
105584,kylew3,1556230;1556240;1571810;1571813;1571814,5
4513659,veronikad,81462419;81462535;81462752;81463000;81463049,5
105841,sabrinak1,1556248;1556254;1556457;1556459;1556465,5
105842,retnies123,1556286;1556289;1556290;1556291;1582850,5
4513052,brooke_mcastocker,81560458;81560641;81560730;81560870;81561096,5
105843,blancam1,1582740;1582773;1582811;1582859;1582889,5
3106355,patrickeatsflowers,48136813;48137409;48137674;48140123;48142955,5
105845,yesilc2,1556326;1556350;1556463;1582747;1582756,5
3105836,matthew965,48254166;48254209;48254340;48254370;48254713,5
3086705,annatom1,47995070;48109105;48144986;48166807;48169917,5
3081708,the1mayaroy,48272187;48272431;48272525;48272837;48272984,5
3073664,avadominick,48255686;48255867;48255955;48256167;48256438,5
1800698,aimen,26310984;26311054;26311062;26311087;26311128,5
3073509,matthewc6,48151708;48151853;48152211;48152268;48152474,5
246782,rebeccab2,3306965;3306969;3306977;3306988;3307007,5
247395,sarahb5,3305957;3314481;3316269;3316277;3317016,5
3073382,brianb4,48253275;48253613;48254046;48261982;48263180,5
247347,antonr,3298322;3298332;3298349;3298372;3298383,5
247346,nickjryu,3298405;3298410;3298418;3298422;3298426,5
1800697,rachelroland,25939035;25994776;26322347;26370350;26410133,5
